"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,4,10,16,15,15,12,8,7,5
2,3,6,13,13,12,10,8,7,2
3,5,12,21,22,21,21,17,18,4
2,3,12,23,23,22,19,19,19,3
1,2,5,11,9,11,8,9,6,1
0,0,2,2,1,2,3,2,1,0
4,4,15,67,68,62,56,49,44,2
3,2,14,105,96,86,69,56,49,0
5,5,9,32,29,30,20,20,15,4
2,2,10,36,33,33,25,21,16,1
2,4,7,16,16,14,11,10,8,3
2,4,5,13,12,13,8,9,9,2
2,4,11,21,22,21,20,18,19,4
1,3,12,23,23,24,19,20,17,4
1,2,5,10,7,9,8,7,5,2
0,0,3,1,2,0,2,1,1,0
2,4,14,66,65,62,54,49,46,3
3,2,12,102,92,88,67,56,48,1
4,4,10,33,28,28,22,19,15,4
2,3,10,35,37,34,27,20,18,3
4,4,6,17,15,15,9,10,9,3
2,1,7,15,12,13,9,9,7,1
2,5,12,22,21,22,18,18,17,4
1,3,13,22,23,22,22,19,16,3
2,3,6,9,10,10,9,7,7,3
0,1,1,2,1,2,0,1,2,0
0,2,12,66,65,62,55,49,45,1
0,1,12,102,92,85,69,56,47,2
4,5,11,32,29,28,22,17,14,4
1,4,10,35,34,35,25,22,20,2
4,3,8,17,14,15,11,12,8,3
1,1,8,13,13,12,10,9,6,3
4,4,12,21,21,19,21,17,16,4
4,5,12,22,23,23,20,19,19,3
3,1,4,10,8,10,7,8,7,2
0,0,2,2,1,1,1,2,0,0
1,2,14,65,65,61,56,49,46,2
0,3,13,101,94,85,69,54,47,1
6,7,9,32,28,29,21,18,15,2
3,2,10,36,34,33,24,22,18,1
2,2,8,16,15,15,12,10,6,4
1,2,7,13,13,13,10,7,6,1
2,6,12,21,21,21,21,16,18,5
3,4,12,23,23,24,20,19,17,2
0,1,5,10,9,9,8,9,6,2
0,0,2,1,1,0,1,1,1,1
2,3,14,65,66,62,56,48,45,2
2,2,12,102,93,86,68,55,49,0
5,5,11,33,30,28,20,18,16,4
0,1,9,36,35,34,26,22,18,2
2,3,7,15,16,15,11,10,8,3
3,3,7,14,12,14,8,7,7,1
3,5,12,22,21,20,19,17,17,2
1,3,12,24,23,22,20,20,18,3
0,2,6,10,10,9,8,8,7,3
1,0,2,2,2,2,2,2,3,0
4,3,12,68,67,63,55,49,45,2
1,3,13,104,93,87,67,55,48,0
4,4,10,33,30,27,22,18,15,3
1,2,9,36,34,34,25,21,20,2
3,5,8,18,15,16,9,9,8,2
3,2,7,15,14,13,9,10,7,2
2,3,13,21,21,20,18,17,17,3
1,3,13,22,23,23,20,20,17,3
3,3,7,8,10,9,8,8,6,2
0,0,3,1,1,3,3,2,2,0
2,2,13,68,66,63,55,49,46,2
0,1,13,104,97,86,67,55,48,0
5,5,11,33,29,29,21,19,15,3
1,2,9,38,35,33,26,21,17,2
4,3,7,18,17,16,12,9,8,2
1,3,8,13,13,13,9,9,8,1
2,3,12,21,21,20,19,18,17,3
0,3,13,23,24,21,21,20,17,2
1,4,5,9,9,9,8,7,6,3
0,0,1,2,0,2,0,1,1,0
2,3,14,67,66,62,55,51,46,1
1,1,13,103,96,86,70,57,49,2
5,5,11,32,28,28,22,16,14,4
1,3,8,37,34,35,26,22,19,0
4,4,8,16,16,15,11,10,8,2
2,1,8,13,15,13,9,9,5,4
4,3,13,21,21,20,19,18,17,3
4,5,13,24,22,23,21,18,18,3
3,3,4,10,10,10,8,7,8,2
0,0,3,2,2,0,1,2,0,0
1,3,14,67,66,63,58,51,46,2
0,2,11,106,95,87,70,55,49,1
6,4,9,33,30,28,20,18,15,2
3,3,10,37,36,34,24,22,17,3
4,5,8,16,15,14,13,8,8,3
1,2,7,15,12,14,10,8,7,2
4,5,13,22,21,21,19,17,17,4
2,4,11,24,23,24,19,19,18,1
1,0,5,10,10,9,7,9,8,3
0,1,3,1,1,1,2,1,1,1
1,4,13,69,66,65,58,50,46,2
2,2,11,108,97,88,70,57,51,0
6,3,11,32,31,29,20,17,15,4
1,1,9,37,35,34,26,21,17,3
4,4,6,18,15,16,10,9,9,1
3,2,6,14,13,13,9,8,7,2
3,5,14,22,21,21,20,18,18,3
1,3,13,24,24,23,20,20,17,3
1,2,5,10,10,7,7,7,6,3
0,0,3,1,1,3,1,2,1,0
2,3,12,69,68,64,56,50,46,0
3,2,12,106,99,88,68,57,49,1
5,3,12,33,30,29,22,18,15,4
1,4,9,39,35,34,27,22,19,1
3,4,7,17,17,17,10,9,7,3
2,2,7,14,15,14,10,9,7,1
3,5,12,22,21,22,20,18,18,3
2,5,13,23,25,22,18,19,17,2
2,1,6,8,11,8,7,7,5,3
0,0,2,2,1,2,2,1,1,0
2,5,13,69,66,64,57,49,46,1
3,1,11,106,98,90,70,57,49,0
5,6,11,32,30,28,22,18,16,3
2,2,10,39,37,34,27,21,18,0
3,4,8,17,16,17,13,10,9,2
1,2,7,13,13,14,10,9,7,3
2,4,12,22,23,20,19,18,17,3
2,4,12,22,24,22,20,19,18,3
2,5,6,11,10,10,9,7,7,1
0,1,2,2,1,2,1,1,2,0
3,3,13,68,67,64,56,51,46,1
0,2,13,104,99,88,70,57,49,0
5,5,11,33,29,27,22,18,15,3
3,4,8,38,36,35,25,21,19,1
4,5,8,17,16,17,9,10,7,3
2,3,8,15,14,13,11,9,7,3
3,5,13,21,21,21,19,18,17,4
2,4,12,25,23,23,21,20,19,1
1,3,5,9,10,11,8,7,7,2
0,0,3,1,1,2,1,2,1,0
4,3,14,69,69,65,57,51,46,2
1,1,12,107,98,88,72,57,49,0
7,6,10,32,30,30,22,18,17,4
5,2,11,37,36,36,24,23,18,3
3,2,7,18,17,15,11,10,8,3
1,2,6,15,12,13,11,9,7,1
2,5,14,23,21,20,19,18,17,3
2,5,14,23,23,23,20,20,18,4
0,2,6,10,10,10,7,8,8,2
