"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
14,17,6,0,4,11,0,6,1,4
14,16,4,3,8,13,6,9,3,3
13,13,9,2,5,5,3,11,4,4
10,9,4,3,3,5,2,10,5,6
7,8,5,3,2,8,4,8,0,4
13,12,7,3,3,7,4,9,4,5
15,14,4,1,4,9,2,9,3,3
18,17,2,3,0,8,1,9,1,5
17,17,3,0,2,9,3,9,1,3
12,12,5,2,4,8,2,8,5,4
13,19,3,1,0,6,1,8,0,4
16,15,2,4,2,8,5,10,2,4
12,15,7,5,2,8,4,14,2,5
7,10,2,3,4,8,4,11,1,6
7,8,4,0,2,6,2,5,4,2
11,14,5,2,2,8,2,10,3,6
16,17,2,2,4,11,3,13,3,4
16,16,2,0,0,12,0,9,4,4
18,17,5,3,2,7,0,10,2,3
14,16,3,3,3,7,3,9,2,3
18,19,2,0,1,6,4,10,4,5
16,12,4,4,5,9,2,8,2,4
14,11,7,4,5,7,3,10,5,6
9,9,5,2,4,6,4,13,1,6
7,6,2,5,3,9,5,6,1,2
11,10,5,3,2,9,4,9,3,5
15,14,5,4,5,9,2,11,3,5
18,17,2,2,0,12,4,12,0,4
16,17,5,3,1,12,5,10,3,5
13,12,4,3,3,9,4,6,1,6
17,16,4,3,3,7,3,10,1,6
14,17,3,7,2,9,5,9,3,5
13,15,8,5,4,9,3,12,2,9
7,12,4,4,2,8,3,11,3,7
9,9,3,5,3,6,5,6,3,3
12,12,6,3,4,10,2,9,2,8
20,19,7,4,7,13,2,12,3,5
20,22,3,1,3,13,4,11,1,3
21,19,4,3,3,11,5,9,4,4
14,15,5,3,4,10,3,8,1,5
18,19,5,2,5,9,2,8,3,2
18,17,5,4,4,10,4,6,4,4
15,14,6,2,5,10,8,11,3,5
8,10,5,3,2,6,4,11,2,5
7,6,4,4,2,4,4,8,1,1
14,13,4,2,4,7,9,9,4,4
18,17,5,2,6,11,12,10,1,4
21,20,3,3,4,10,7,12,0,3
21,19,2,3,2,9,9,9,1,3
15,14,4,4,4,9,9,8,1,5
20,16,5,2,3,7,7,10,0,7
16,19,1,4,3,5,7,6,1,3
17,16,8,5,6,6,10,12,4,8
9,10,7,7,4,2,8,12,4,7
8,8,3,5,2,1,5,7,2,5
12,13,6,2,0,1,8,9,4,5
19,18,5,3,3,0,11,8,2,5
19,23,5,4,2,2,11,12,2,5
20,19,6,2,0,2,8,9,4,4
15,15,7,4,2,1,10,6,2,3
20,19,3,4,3,2,6,8,3,5
16,17,5,4,4,5,7,8,3,3
15,15,7,4,2,4,4,14,2,6
10,12,2,3,2,2,4,12,4,3
9,8,3,1,4,3,7,5,1,3
12,11,3,3,7,5,4,10,2,5
19,20,2,2,7,1,6,10,1,3
20,21,3,1,6,0,5,9,1,6
23,20,5,0,6,3,6,9,0,5
14,16,4,3,7,4,5,8,3,4
18,21,4,2,7,2,5,6,1,4
18,17,5,0,4,3,5,9,0,5
15,15,8,3,3,4,3,12,5,9
8,9,5,1,6,4,1,10,4,6
9,10,5,3,7,0,2,5,3,3
13,13,6,4,6,1,1,7,5,6
16,17,6,0,6,2,2,10,2,4
20,20,4,1,8,1,0,9,2,2
21,21,5,1,8,0,1,7,4,1
15,14,6,1,6,3,4,7,2,3
16,18,3,0,4,3,0,8,4,6
12,15,3,1,6,2,2,6,6,5
15,14,9,3,2,2,4,14,3,6
11,10,2,2,5,4,2,12,3,7
12,10,4,2,5,3,3,8,1,3
11,11,4,3,5,2,3,9,4,6
16,17,3,2,5,4,1,13,2,7
19,20,4,1,9,2,0,10,3,3
19,19,4,3,7,0,2,11,4,4
16,15,4,3,7,2,1,11,1,4
17,20,3,0,7,2,2,9,5,6
15,17,4,2,7,0,2,11,2,4
12,15,6,4,5,2,4,12,4,5
10,9,5,4,5,4,3,12,3,8
9,8,3,1,8,6,3,8,4,4
10,11,4,3,7,1,2,7,3,4
18,16,5,3,7,0,2,11,0,2
20,19,5,0,7,1,0,9,1,3
19,19,1,0,10,4,1,8,3,4
16,12,2,2,7,2,1,7,3,2
20,17,7,2,4,1,1,7,2,5
16,16,4,1,6,3,0,6,4,6
14,15,6,5,6,4,1,12,3,6
11,12,5,2,5,0,3,12,2,5
10,10,3,2,5,3,1,9,0,5
11,12,4,4,8,4,2,9,4,9
17,16,5,3,10,0,1,11,2,4
19,19,5,2,7,0,3,13,1,6
19,19,2,0,6,2,1,9,1,5
16,13,3,3,8,2,3,5,2,4
17,16,4,2,7,0,1,11,2,4
15,15,5,0,7,5,1,7,1,3
15,15,7,2,4,4,2,11,5,7
8,10,3,1,6,3,1,9,3,6
8,8,5,3,6,2,3,4,4,4
14,11,7,2,5,1,1,8,4,4
17,19,3,0,7,4,0,7,1,5
20,20,5,0,11,0,2,9,3,5
21,17,3,2,8,1,1,8,2,4
15,15,4,2,7,3,0,5,3,4
16,16,3,2,5,1,1,7,4,6
15,12,0,3,7,3,1,8,3,5
15,17,7,4,7,2,3,13,5,6
12,12,7,2,7,3,3,14,2,7
11,11,4,3,3,5,1,7,1,5
11,11,3,1,7,0,2,9,4,5
18,18,4,2,10,0,2,11,2,4
21,21,6,2,8,3,0,11,2,4
20,20,6,1,5,3,4,9,3,5
14,14,4,3,9,0,3,9,4,5
19,17,6,3,8,3,1,8,5,2
15,16,5,1,5,2,3,6,2,3
16,13,7,3,8,3,3,13,4,4
11,11,7,3,7,3,2,11,4,5
9,11,4,1,5,4,4,5,2,5
12,10,4,2,6,0,1,9,4,4
18,17,5,2,9,3,1,9,1,4
19,21,5,2,9,2,1,8,0,6
19,18,2,0,7,1,2,7,3,6
15,13,2,1,8,3,2,7,2,3
17,17,3,4,7,4,5,8,1,2
14,14,5,2,6,2,2,6,2,6
16,17,6,3,4,3,3,12,2,8
11,10,5,3,6,2,3,12,2,5
9,8,5,2,4,2,1,8,0,4
8,12,4,2,6,1,1,8,2,5
18,16,2,0,8,0,1,9,1,5
20,19,4,0,8,0,0,11,1,4
18,18,4,3,7,3,2,9,2,5
14,14,5,0,8,0,0,7,2,6
18,15,3,0,8,0,1,7,1,5
13,12,2,3,5,2,0,9,2,3
15,16,7,2,4,5,2,11,3,6
11,10,4,4,7,3,3,12,4,8
9,8,6,2,6,2,2,6,2,4
12,11,5,2,6,4,1,8,2,4
17,17,2,0,9,0,1,11,0,6
18,18,4,0,10,1,0,9,0,7
18,17,4,2,8,3,0,11,2,3
13,15,5,5,8,3,3,9,0,5
15,15,4,0,7,2,3,8,0,8
11,13,2,1,9,5,0,9,4,3
14,16,7,1,5,2,2,12,4,6
8,10,4,4,5,4,2,12,3,4
7,8,6,0,4,1,3,6,2,6
11,11,5,2,8,2,2,7,2,6
16,17,4,5,8,2,2,12,2,4
20,18,4,1,6,1,2,9,1,4
17,19,5,0,7,0,3,7,1,7
14,12,4,1,8,5,1,6,2,4
15,14,3,5,2,1,3,8,1,2
12,12,4,0,8,0,4,6,1,3
14,15,7,3,6,3,3,11,3,8
10,12,3,3,7,3,4,12,4,7
9,8,3,4,6,5,3,8,2,4
12,13,7,5,5,2,2,10,0,6
16,18,5,0,8,2,2,11,1,5
18,18,3,0,10,2,0,10,3,3
17,17,3,1,7,3,4,12,1,4
12,13,5,1,8,3,2,9,2,6
17,15,6,1,7,4,1,7,1,5
13,13,4,0,6,3,2,10,2,6
16,15,7,3,5,3,3,13,3,8
13,10,4,3,7,2,5,13,4,9
8,8,6,3,5,1,5,8,2,5
10,13,5,1,5,2,5,8,3,8
17,19,6,1,7,0,5,8,1,10
19,16,2,0,7,0,3,10,2,5
17,17,3,4,7,0,5,8,1,6
15,13,5,2,9,3,6,6,2,8
15,14,6,2,6,0,5,6,4,6
14,12,4,2,6,0,7,9,1,4
16,13,6,1,4,5,9,14,3,4
10,10,5,4,6,3,9,11,0,5
9,10,4,1,6,5,8,7,3,8
11,12,2,2,4,5,7,10,3,4
18,16,6,1,8,3,16,13,0,4
19,18,5,2,10,4,18,12,0,4
19,18,4,0,6,6,13,11,1,6
15,13,2,1,6,3,15,11,3,3
13,13,4,3,8,1,17,8,0,4
14,15,5,0,5,5,13,8,3,6
16,14,6,2,4,3,12,11,5,6
9,11,5,3,4,0,10,9,2,4
8,9,6,1,5,1,12,5,1,5
11,12,3,1,5,0,8,6,3,6
15,16,5,2,7,0,18,10,3,5
20,16,6,0,9,0,23,8,1,4
17,19,6,0,8,1,20,7,1,6
15,15,2,3,6,2,18,8,4,6
13,14,3,3,7,1,22,9,1,4
15,15,8,0,5,6,19,7,0,4
15,14,7,3,4,5,10,12,2,6
9,10,7,2,5,5,6,10,4,7
10,9,4,1,4,4,7,8,3,6
10,9,3,2,6,2,10,6,1,4
18,16,6,0,6,3,15,8,1,5
20,19,2,2,8,2,21,9,2,5
17,18,3,0,10,4,18,8,1,3
14,14,6,2,8,5,18,7,2,6
15,14,4,1,8,1,19,5,1,6
17,13,5,3,8,2,15,7,4,4
16,12,6,3,2,0,12,12,6,6
8,8,5,5,6,1,9,12,6,6
6,9,7,0,4,3,9,7,6,5
10,10,2,1,5,0,10,9,4,8
14,14,4,3,5,1,15,10,6,4
17,14,3,0,8,1,19,11,4,5
15,15,5,0,6,1,15,8,5,6
13,13,4,6,6,3,12,9,8,5
11,13,4,1,6,3,19,11,4,4
12,12,8,0,5,3,16,6,4,6
14,13,4,5,2,6,12,15,3,5
9,8,4,2,7,3,9,11,2,7
9,8,7,1,2,3,7,7,3,5
9,11,3,3,5,3,9,11,4,6
15,12,4,1,7,2,16,10,2,2
14,15,5,0,8,3,20,11,0,6
15,15,3,3,6,2,16,8,3,3
15,12,4,2,4,2,14,10,5,4
14,14,4,0,2,2,22,12,1,2
13,13,3,3,1,1,18,8,3,6
14,13,7,3,4,5,8,17,2,6
10,11,3,3,3,2,8,14,4,7
8,7,5,4,2,3,7,9,5,4
9,11,3,2,4,4,9,14,1,4
15,13,5,1,1,2,12,16,3,7
14,18,1,3,1,5,14,21,1,3
18,15,3,2,1,5,14,17,3,4
15,11,4,2,2,5,14,13,1,6
14,15,5,2,3,5,14,10,1,4
14,14,2,2,4,3,13,12,6,5
15,15,7,2,5,8,11,14,3,8
10,11,4,2,4,3,5,7,2,5
8,7,5,0,6,4,8,8,4,5
10,10,5,2,5,7,10,12,2,5
15,16,3,3,9,5,16,11,3,7
17,16,3,0,8,7,18,9,2,4
17,16,3,1,8,3,15,10,5,5
12,15,3,1,6,5,14,10,3,4
