"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
21,18,5,3,5,0,5,13,8,36
17,15,3,5,8,4,9,12,6,26
14,15,5,2,8,4,3,12,7,16
11,10,4,1,8,1,2,12,6,11
12,9,3,1,7,4,3,11,7,12
9,11,4,2,8,4,3,10,5,14
19,18,2,0,13,1,0,10,8,21
17,18,5,2,11,3,0,14,9,22
20,18,3,1,7,3,3,12,6,21
16,15,4,1,7,3,3,7,6,15
21,19,4,0,9,5,0,7,8,29
15,17,4,1,7,5,1,11,5,26
14,13,5,2,6,3,4,16,7,12
10,8,8,3,6,4,7,13,5,12
8,11,4,1,6,4,6,11,5,9
11,12,6,3,7,2,3,12,7,10
17,16,5,0,11,0,7,23,3,17
21,19,5,0,9,1,8,17,5,19
20,18,4,1,10,3,4,16,7,17
15,13,7,2,10,0,5,11,7,15
17,19,3,0,7,0,8,16,4,31
14,17,5,0,9,2,3,10,8,22
13,13,6,4,10,4,6,17,5,16
10,11,3,3,6,3,4,13,8,11
9,9,6,2,6,3,4,13,6,13
10,10,3,3,9,3,5,14,4,12
18,19,4,0,8,1,6,25,8,18
20,19,4,3,10,2,3,23,9,19
20,18,4,2,9,0,4,19,7,20
15,15,4,4,6,3,5,14,8,15
18,21,4,3,7,2,5,14,9,30
20,16,4,0,8,1,2,14,7,26
13,13,7,4,8,2,6,19,7,13
8,10,5,3,7,3,1,14,7,9
12,10,7,1,11,4,3,15,8,11
10,9,5,3,8,1,4,15,5,11
19,18,4,1,9,3,1,27,9,17
17,21,6,0,11,3,1,18,10,21
20,17,4,1,12,2,1,18,9,20
13,15,5,2,10,4,5,14,7,15
20,21,5,0,8,2,3,14,9,32
17,16,4,2,9,0,1,13,9,25
13,14,6,3,9,4,3,11,10,15
9,9,3,3,5,2,1,10,7,15
13,11,5,5,5,3,3,11,8,12
10,12,4,2,9,2,3,8,8,10
18,17,5,0,10,1,0,12,13,23
20,20,4,2,10,2,0,13,12,22
19,19,6,2,11,4,5,9,11,20
16,15,4,0,10,4,2,8,12,17
19,18,4,2,9,0,0,10,10,37
17,19,6,2,7,2,3,10,11,30
14,14,5,1,6,4,4,16,11,16
9,8,6,2,5,4,0,12,11,11
12,12,3,4,12,4,3,14,10,14
11,10,2,2,6,4,3,11,8,15
19,17,2,2,12,3,2,15,23,20
19,18,1,1,11,2,0,17,21,22
22,20,2,2,9,3,0,15,16,23
14,13,5,3,8,3,4,12,12,16
23,19,0,0,10,3,3,10,18,37
18,17,4,6,10,6,0,15,13,30
14,14,7,1,9,3,2,16,6,14
