"x"
1031
385
340
400
437
435
450
430
478
425
530
544
554
595
566
575
560
445
474
592
567
613
573
612
637
508
435
449
429
382
364
323
353
328
359
345
335
347
315
357
340
321
347
325
344
334
362
358
342
355
368
340
383
426
413
426
477
492
470
448
395
372
387
397
414
412
433
569
773
707
671
583
539
458
495
474
483
532
429
444
375
369
353
363
353
346
375
374
372
341
353
350
352
370
364
380
377
385
371
385
362
413
612
652
587
575
510
482
480
483
514
779
817
867
620
551
467
535
562
456
474
470
425
407
300
309
325
305
311
300
293
290
306
311
307
327
314
313
321
314
296
314
314
307
389
428
401
394
445
515
446
448
450
453
457
412
435
513
587
639
571
584
514
476
528
537
475
477
471
426
362
362
305
311
292
341
321
328
324
345
346
336
343
343
335
351
325
335
341
325
335
373
346
371
364
437
484
469
471
514
475
500
537
511
526
584
544
613
586
600
719
711
707
505
475
480
431
406
373
379
372
352
373
370
380
376
380
381
365
364
384
379
384
398
375
384
394
390
451
460
543
647
605
549
608
573
561
542
641
591
591
550
474
556
605
777
804
814
640
506
488
457
426
484
455
425
430
432
383
363
363
357
372
380
367
367
391
394
396
388
386
405
395
378
411
392
402
522
661
587
537
526
467
464
522
567
769
924
1144
1036
759
618
592
533
538
510
508
438
335
288
356
372
360
364
376
374
395
377
393
398
383
404
384
397
392
399
400
459
768
690
654
616
557
526
565
545
574
702
771
788
723
636
627
579
543
544
545
532
536
421
340
345
334
338
352
334
362
364
375
367
367
342
362
345
361
368
359
344
340
371
356
340
476
522
593
574
588
697
652
574
693
771
829
892
818
672
615
654
589
570
618
556
404
389
392
306
325
367
368
370
388
370
366
356
386
394
386
373
363
386
375
382
394
653
734
633
613
612
651
718
746
1083
1150
847
610
584
535
524
588
610
525
403
453
367
398
388
391
337
361
366
389
375
384
376
404
383
388
395
392
406
406
388
386
390
393
711
553
598
647
595
724
791
821
767
773
714
586
610
523
469
525
499
461
396
409
452
422
421
386
366
383
391
391
396
409
366
401
403
391
394
391
418
404
411
401
404
408
457
817
761
732
653
512
413
555
716
656
596
587
561
579
506
470
515
477
450
470
396
409
414
384
383
400
401
398
400
404
412
414
396
402
399
409
416
395
406
392
377
427
480
