max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
591,474,542.5462963,546,574.1006404,1763,58595,5.149224806,4.672760512,4.893983339,4.888203605,0.006965844,6.611711224,528.5502006,7.197916667,6.768313458,6.953391066,6.957466847,0.005515464,8.016647177,750.9662351,cover,dynamic,12,man,constant
590,510,549.787037,548,254.4869332,1330,59377,5.081272085,4.749539595,4.879339139,4.867070304,0.004270196,5.635387024,526.968627,7.072897196,6.711926606,6.900370448,6.899947783,0.005183683,8.41443367,745.2400084,cover,dynamic,12,man,constant
669,536,605.3888889,609.5,854.7819315,1577,65382,5.042301184,4.74800638,4.87956015,4.877198254,0.003547667,6.301338412,526.9924962,7.104795737,6.647234679,6.821881257,6.815570673,0.005453934,7.92404192,736.7631757,cover,dynamic,12,man,constant
696,559,633.1759259,640,1046.557546,1418,68383,5.057491289,4.727272727,4.877211259,4.874808869,0.00457435,5.812935934,526.738816,7.077175698,6.596273292,6.828875201,6.829092989,0.009955058,7.509351487,737.5185217,cover,dynamic,12,man,constant
232,174,208.6574074,209.5,142.1899446,1055,22535,5.710659898,5.084507042,5.368395487,5.378430683,0.0145007,13.27567578,579.7867126,7.18877551,6.595121951,6.833469678,6.820974077,0.015448204,13.99304557,738.0147253,cover,dynamic,12,man,notouch
240,183,206.8981481,207,125.8867255,1003,22345,5.708920188,5.023923445,5.373494335,5.394448373,0.015769013,12.53896904,580.3373882,7.102439024,6.522167488,6.82957306,6.825441872,0.016659294,14.70634238,737.5938905,cover,dynamic,12,man,notouch
242,175,208.1296296,209,132.7120111,1096,22478,5.660465116,5.024038462,5.373683619,5.374460094,0.017496795,13.68824189,580.3578308,7.064171123,6.463636364,6.817651145,6.819756098,0.015535499,12.60108249,736.3063236,cover,dynamic,12,man,notouch
243,185,207.8611111,207,118.3450156,1006,22449,5.647058824,5.043478261,5.381275224,5.38425082,0.015597113,12.95990514,581.1777242,7.177339901,6.535714286,6.856183972,6.847233616,0.018646902,18.01552539,740.4678689,cover,dynamic,12,man,notouch
522,164,227.0277778,206.5,4365.896417,3768,24519,5.551546392,4.805825243,5.191743487,5.205082833,0.017519361,14.58103871,560.7082966,7.057017544,5.524271845,6.205778156,6.210065707,0.065709899,18.72385863,670.2240409,cover,dynamic,12,man,pat
613,180,246.0092593,218.5,7374.214867,4865,26569,5.516431925,4.770642202,5.185709047,5.19030748,0.022393139,14.96859482,560.0565771,6.956140351,5.807291667,6.399568641,6.402321713,0.07366019,19.97107838,691.1534132,cover,dynamic,12,man,pat
663,175,253.0740741,221.5,9333.938387,5072,27332,5.56741573,4.792270531,5.187378626,5.206319089,0.026861958,14.77390775,560.2368916,7.043478261,5.815920398,6.411201828,6.403543265,0.073743215,17.92329162,692.4097974,cover,dynamic,12,man,pat
640,197,256.8703704,228.5,6936.749394,3869,27742,5.611111111,4.846875,5.243191743,5.257315881,0.025578796,15.1536424,566.2647083,7.134615385,5.855895197,6.474283834,6.452337185,0.064124566,18.48762654,699.2226541,cover,dynamic,12,man,pat
344,148,226.4722222,213.5,1994.008567,2019,24459,5.406542056,4.654639175,5.041374196,5.030044597,0.020305992,12.8346273,544.4684131,6.611650485,5.283018868,5.875599083,5.813745694,0.111576148,18.33140774,634.564701,cover,dynamic,12,man,rub
294,152,218.0740741,218.5,659.4897889,2095,23552,5.518072289,4.613445378,4.979204951,4.946956952,0.037328717,14.87552735,537.7541347,7.003690037,5.390862944,6.219961517,6.365412763,0.177066429,24.53543949,671.7558438,cover,dynamic,12,man,rub
269,134,204.4351852,204.5,650.6780028,1820,22079,5.435185185,4.505050505,4.926353088,4.93516295,0.028369037,14.67234442,532.0461335,7.106951872,5.939814815,6.613231025,6.616818182,0.064534166,20.66700417,714.2289507,cover,dynamic,12,man,rub
268,136,202.25,201,552.9742991,2113,21843,5.580952381,4.519417476,5.009389866,5,0.041180044,18.0446179,541.0141056,7.12295082,5.783653846,6.60441542,6.618073316,0.063829472,19.11680757,713.2768653,cover,dynamic,12,man,rub
821,174,340.5555556,225,38748.32399,4309,36780,5.461165049,4.953488372,5.18422553,5.191964286,0.011934757,10.57418414,559.8963572,6.740831296,5.436548223,6.275457035,6.349124374,0.075618372,14.67660446,677.7493598,cover,dynamic,12,man,scratch
916,153,344.462963,212.5,40364.86777,4761,37202,5.527638191,4.892018779,5.22345062,5.226725906,0.015157572,10.43525042,564.132667,6.908554572,5.233009709,6.320171363,6.404913773,0.126086552,17.80048274,682.5785072,cover,dynamic,12,man,scratch
850,178,336.1574074,225,33881.23667,4268,36305,5.433333333,4.970588235,5.225336846,5.224706256,0.009386116,10.29376132,564.3363794,6.846394984,5.314606742,6.269170182,6.351481481,0.093606296,16.02854065,677.0703797,cover,dynamic,12,man,scratch
712,199,323.962963,229,25152.05469,3789,34988,5.561904762,4.962732919,5.248142885,5.243094436,0.014096896,12.68136177,566.7994316,6.786458333,5.47257384,6.252617812,6.305176292,0.069866251,15.70228094,675.2827237,cover,dynamic,12,man,scratch
390,196,269.7592593,266,1140.296642,2074,29134,5.462962963,4.697435897,5.145499642,5.152124893,0.020477856,12.57043548,555.7139613,6.892857143,5.693602694,6.213966463,6.18052538,0.060592329,16.1552871,671.108378,cover,dynamic,12,man,stroke
330,168,244.5740741,244.5,1509.686051,1846,26414,5.5625,4.678688525,5.211520263,5.207404876,0.033335762,15.12829262,562.8441884,7.20703125,5.77704918,6.535922429,6.53648374,0.075722428,19.43499851,705.8796223,cover,dynamic,12,man,stroke
363,215,271.9537037,270.5,1225.072603,2101,29371,5.601731602,4.678456592,5.181136011,5.180304736,0.021021125,13.40459196,559.5626892,7.022321429,5.636636637,6.322006237,6.293375522,0.069442502,17.45951852,682.7766736,cover,dynamic,12,man,stroke
394,186,268.1296296,266,1385.796123,2382,28958,5.448888889,4.717687075,5.111763556,5.117259085,0.025941647,12.67283711,552.0704641,7.319559229,5.777327935,6.402638171,6.375364299,0.093588142,19.15510804,691.4849224,cover,dynamic,12,man,stroke
272,175,211.3518519,209,443.6507442,1604,22826,5.465240642,4.746192893,5.153986139,5.150040064,0.018472422,15.31150329,556.630503,7.089622642,6.255319149,6.645832785,6.656175484,0.026528997,16.01463761,717.7499407,cover,dynamic,12,man,tickle
303,173,213.9537037,212,897.3529768,1826,23107,5.605405405,4.790697674,5.194252681,5.168325792,0.030267263,16.52388523,560.9792895,7.09009009,6.173913043,6.63483591,6.669616519,0.043088647,18.06103116,716.5622782,cover,dynamic,12,man,tickle
282,161,202.1018519,198.5,640.4661648,1437,21827,5.508379888,4.66507177,5.155659883,5.139913278,0.025867457,16.5971313,556.8112674,7.098522167,6.245714286,6.648346746,6.664761905,0.035781363,16.04751964,718.0214486,cover,dynamic,12,man,tickle
260,163,204.8703704,207,454.0391139,1350,22126,5.61352657,4.840909091,5.171352831,5.165324752,0.03112869,16.62656585,558.5061058,7.093023256,6.069148936,6.691521624,6.685639603,0.053976237,15.48264643,722.6843354,cover,dynamic,12,man,tickle
981,889,932.962963,933,567.9612323,1631,100760,5,4.779716467,4.873348492,4.873871169,0.002117041,3.995852087,526.3216371,6.841928251,6.577045696,6.697807089,6.699082353,0.002881699,4.269661529,723.3631657,cover,static,12,man,constant
1053,949,1002.055556,1003,409.7538941,1572,108222,4.977205154,4.791330645,4.885539706,4.886363437,0.001135425,3.526567467,527.6382882,6.804081633,6.556851312,6.701022899,6.699415207,0.001748114,4.631293942,723.7104731,cover,static,12,man,constant
1097,1034,1068.990741,1069,178.7569228,1232,115451,4.99076639,4.826086957,4.9069471,4.907591791,0.000955274,3.663087691,529.9502868,6.795708955,6.559414991,6.66740876,6.669917753,0.00154806,4.626470659,720.0801461,cover,static,12,man,constant
1121,1048,1077.537037,1076,238.6060921,1587,116374,5.009057971,4.809302326,4.894448688,4.897328242,0.001527707,4.563834936,528.6004583,6.740601504,6.533514493,6.666756335,6.66884371,0.001845327,4.391215574,720.0096841,cover,static,12,man,constant
220,170,194.3981481,194,78.20448252,1125,20995,5.484042553,4.979166667,5.250357796,5.26221253,0.010196157,11.99147432,567.038642,6.994652406,6.309090909,6.633180352,6.64248115,0.015904927,14.10893187,716.383478,cover,static,12,man,notouch
221,174,193.5555556,193,62.64174455,996,20904,5.52247191,4.810526316,5.234873254,5.239957265,0.015681398,12.71336493,565.3663115,6.92746114,6.338709677,6.641469225,6.6349239,0.014956053,16.14158377,717.2786763,cover,static,12,man,notouch
231,173,195.7407407,195,115.7452406,989,21140,5.626865672,4.755434783,5.272827145,5.283415524,0.022705059,15.63660654,569.4653317,6.895604396,6.347150259,6.645706802,6.653664008,0.014727055,15.14438137,717.7363346,cover,static,12,man,notouch
220,172,194.9444444,193,120.1090343,1157,21054,5.52970297,4.942105263,5.261847233,5.268683703,0.019442823,13.93593845,568.2795012,7.005494505,6.404761905,6.672825809,6.672897196,0.014424756,14.76805605,720.6651874,cover,static,12,man,notouch
467,233,272.5833333,266,912.432243,2082,29439,5.260273973,4.762452107,5.022641445,5.019184545,0.012557406,12.71619317,542.445276,7.275862069,6.473233405,7.018734007,7.034244792,0.017517482,13.26825997,758.0232728,cover,static,12,man,pat
507,239,286.9814815,271,2396.18657,2620,30994,5.208835341,4.808988764,5.047738557,5.055727995,0.006540038,9.586540642,545.1557641,7.322175732,6.461538462,6.990611564,6.996452786,0.02023185,14.43421349,754.9860489,cover,static,12,man,pat
484,232,270.537037,262.5,1258.979924,2423,29218,5.290441176,4.76119403,5.038161173,5.046978442,0.0116977,11.1058946,544.1214067,7.264822134,6.599173554,7.040695713,7.053028197,0.015265331,14.47246319,760.395137,cover,static,12,man,pat
501,225,273.5277778,265,1222.625389,2084,29541,5.269230769,4.826568266,5.049733071,5.03941957,0.010639723,9.800271894,545.3711717,7.397637795,6.571801567,7.056963526,7.079698977,0.016290638,14.31615256,762.1520608,cover,static,12,man,pat
366,159,215.0092593,214,1522.700848,2261,23221,5.575875486,4.712643678,5.181471924,5.16891826,0.033411232,18.18860405,559.5989678,7.004444444,5.412244898,6.398983569,6.35793539,0.117209009,21.93780528,691.0902255,cover,static,12,man,rub
315,148,215.7314815,210,1532.067411,2105,23299,5.578199052,4.690909091,5.173973011,5.172442628,0.033191539,17.12444684,558.7890852,7.243243243,5.311004785,6.389559203,6.399062492,0.170275839,20.51674347,690.0723939,cover,static,12,man,rub
293,132,206.7222222,201,1325.510903,2040,22326,5.681632653,4.758974359,5.171868271,5.170460895,0.031529461,17.1794162,558.5617733,7.454861111,5.32460733,6.344916263,6.318041051,0.22911616,21.8271142,685.2509564,cover,static,12,man,rub
346,165,230.2314815,227,1097.413205,2147,24865,5.553299492,4.812785388,5.160227149,5.15829512,0.020366436,16.03286671,557.3045321,7.191275168,5.427184466,6.447922492,6.54252073,0.129590132,21.40943536,696.3756291,cover,static,12,man,rub
721,157,281.2037037,206.5,20765.62167,3901,30370,5.64,4.864321608,5.184220497,5.178706651,0.021342721,15.2383391,559.8958137,6.805774278,5.561797753,6.358115172,6.445386064,0.090098645,15.91535101,686.6764386,cover,static,12,man,scratch
518,179,261.8888889,213,8863.912773,2647,28284,5.584699454,4.938967136,5.232524322,5.233703656,0.012190626,12.12818186,565.1126268,6.762237762,5.272277228,6.351630807,6.434059658,0.088749827,16.98332436,685.9761271,cover,static,12,man,scratch
552,181,267.5092593,216.5,9256.420474,2864,28891,5.475728155,4.865284974,5.213834572,5.228067307,0.01181416,12.28292227,563.0941338,6.805232558,5.51758794,6.38540519,6.451415094,0.071906606,14.79561694,689.6237605,cover,static,12,man,scratch
564,163,251.4351852,198,10292.28548,2807,27155,5.606382979,4.879069767,5.198612814,5.205916791,0.018692612,13.81660883,561.4501839,7.002475248,5.343478261,6.413128086,6.510336743,0.132493687,16.73062533,692.6178333,cover,static,12,man,scratch
319,164,209.6481481,198.5,1315.650744,2113,22642,5.451612903,4.8,5.158415887,5.161537247,0.01999921,16.03204538,557.1089158,6.856,5.783251232,6.257188615,6.270673487,0.065799686,19.96348313,675.7763704,cover,static,12,man,stroke
337,167,220.75,203.5,1548.693925,1776,23841,5.356589147,4.677725118,5.116612078,5.108587954,0.017716028,13.09356549,552.5941044,7.104895105,5.572254335,6.20618458,6.087484137,0.118019282,19.01786655,670.2679347,cover,static,12,man,stroke
356,200,240.6574074,231,925.2553652,1553,25991,5.391791045,4.782426778,5.096507454,5.10331825,0.016595299,14.19929611,550.422805,7.147651007,6.022522523,6.470028883,6.444723667,0.033968181,16.41522945,698.7631194,cover,static,12,man,stroke
372,170,239.4907407,225.5,1852.009259,2165,25865,5.379432624,4.698275862,5.088988529,5.09263013,0.015336234,13.97517931,549.6107612,7.241935484,6.076612903,6.506154937,6.467824477,0.055405332,20.71268941,702.6647332,cover,static,12,man,stroke
294,179,218.0925926,211,571.7670474,1764,23554,5.656716418,4.964824121,5.349126253,5.358394535,0.015500702,13.13217611,577.7056353,5.914965986,5.242574257,5.571495285,5.5542291,0.026599306,15.02180893,601.7214908,cover,static,12,man,tickle
274,195,222.3796296,218,293.8825718,1372,24017,5.632286996,5.06763285,5.348906541,5.342926156,0.012948195,13.47554434,577.6819064,6.057971014,5.438095238,5.786081444,5.778823999,0.01341064,14.22545729,624.896796,cover,static,12,man,tickle
290,192,225.6203704,218,426.6676186,1537,24367,5.631840796,4.981042654,5.360623819,5.357791157,0.013824099,12.55299922,578.9473725,6.009661836,5.423255814,5.752830905,5.751260933,0.011756331,12.8266543,621.3057378,cover,static,12,man,tickle
287,197,224.537037,219.5,400.6434753,1591,24250,5.541284404,5.050458716,5.321717925,5.324612891,0.013292922,12.99867291,574.7455359,6.044843049,5.540540541,5.753841731,5.763687183,0.012575299,12.39694699,621.4149069,cover,static,12,man,tickle
2672,2288,2527.25,2556,11906.13318,2010,272943,4.336092715,4.125197472,4.237792306,4.254168552,0.0032193,2.034993134,457.6815691,6.236832133,6.094641314,6.187645407,6.189940193,0.000592176,2.158168935,668.2657039,none,dynamic,12,man,constant
2346,1939,2132.722222,2109,9036.239875,2293,230334,4.369337979,4.174,4.277698117,4.286666667,0.001500275,2.112012362,461.9913966,6.219087917,6.096972564,6.165446708,6.16697089,0.000563906,2.621014367,665.8682445,none,dynamic,12,man,constant
2271,2068,2152.888889,2149,1913.707165,1905,232512,4.387459055,4.218540081,4.290987047,4.292520436,0.001313766,2.336084696,463.426601,6.220494053,6.079458239,6.149318563,6.147950134,0.000779927,2.573568503,664.1264048,none,dynamic,12,man,constant
2351,2157,2261.564815,2267,1791.631274,1861,244249,4.344764518,4.21190582,4.274369141,4.272083677,0.000885872,2.373193601,461.6318672,6.180061484,6.062887511,6.131285333,6.132955409,0.000495789,2.166572809,662.1788159,none,dynamic,12,man,constant
198,153,176.3055556,177.5,90.00856698,812,19041,5.518072289,4.85483871,5.154874794,5.148729947,0.01677609,13.93333617,556.7264777,5.5,4.586206897,5.000512171,5.022869091,0.023630814,13.51425265,540.0553145,none,dynamic,12,man,notouch
221,158,183.0740741,182,188.1066113,855,19772,5.482758621,4.829545455,5.154769294,5.152765774,0.017145105,15.18541378,556.7150838,5.60326087,4.670731707,5.174322518,5.13227345,0.076213983,15.3036137,558.8268319,none,dynamic,12,man,notouch
220,170,195.8055556,196,107.279595,1156,21147,5.434579439,4.9375,5.1510055,5.146836609,0.011935116,12.83496717,556.308594,5.745,5.122222222,5.412763529,5.422878668,0.015404114,12.25008748,584.5784611,none,dynamic,12,man,notouch
219,176,197.9814815,198,103.5884389,1020,21382,5.438356164,4.822916667,5.12562286,5.123765409,0.016336808,14.90630329,553.5672688,5.766990291,5.162921348,5.463340821,5.460219818,0.011865239,12.59364701,590.0408087,none,dynamic,12,man,notouch
552,120,187.2962963,150,8160.210453,3848,20228,5.535714286,4.083487941,5.019779397,5.07933668,0.07084578,22.22674403,542.1361749,6.925724638,5.805970149,6.298445072,6.286360383,0.059445695,24.8483088,680.2320678,none,dynamic,12,man,pat
460,118,194.2592593,168,5185.053652,3511,20980,5.54248366,4.414507772,5.016117103,5.037964072,0.029434177,16.83234217,541.7406471,6.824858757,5.582010582,6.329390872,6.336552688,0.045539144,21.42933036,683.5742142,none,dynamic,12,man,pat
590,138,209.8240741,164,10401.5482,4714,22661,5.795031056,3.974206349,5.105503319,5.173317191,0.10358501,24.61250466,551.3943584,7.048275862,5.815789474,6.384413431,6.370268058,0.042618512,21.96702479,689.5166506,none,dynamic,12,man,pat
541,130,197.2222222,164.5,8806.492212,4746,21300,5.73255814,4.625779626,5.234477414,5.270285088,0.057243477,20.83986751,565.3235607,6.824701195,5.75308642,6.269550829,6.263307388,0.038888448,21.39029942,677.1114895,none,dynamic,12,man,pat
531,194,302.5740741,289,4259.648667,3755,32678,5.50174216,4.344594595,4.909880933,4.898949994,0.055293209,15.03685201,530.2671407,6.636734694,5.037735849,5.899849154,5.918971833,0.124964541,19.06909875,637.1837087,none,dynamic,12,man,rub
664,147,318.8981481,293.5,10383.17645,4756,34441,5.512195122,4.308474576,4.742304725,4.712422635,0.04789059,16.91115104,512.1689103,7.127472527,4.78,5.891043162,5.848735833,0.342869182,23.3705148,636.2326615,none,dynamic,12,man,rub
497,137,311.537037,302,6851.746279,4741,33646,5.248175182,4.276649746,4.669575729,4.654176296,0.046513496,13.3459283,504.3141787,7.609808102,4.746438746,6.070925923,6.092913204,0.418020433,23.51626134,655.6599997,none,dynamic,12,man,rub
444,159,270.712963,263,4286.44955,3645,29237,5.408045977,4.180904523,4.696005947,4.676340599,0.054869683,15.38122297,507.1686423,7.197183099,4.943060498,5.936458999,5.854987497,0.292057553,23.20857332,641.1375719,none,dynamic,12,man,rub
1017,103,327.5185185,170.5,62838.02769,5735,35372,5.270491803,4.396946565,4.831206254,4.87348394,0.03591095,16.15438579,521.7702754,7.044247788,5.692307692,6.294322372,6.298082454,0.069163313,21.83882147,679.7868162,none,dynamic,12,man,scratch
826,105,316,181.5,41902.26168,4580,34128,5.361904762,4.397058824,4.887845436,4.888921505,0.025373173,14.82116255,527.887307,7.258675079,5.561403509,6.225045343,6.250021577,0.09714615,20.66070618,672.3048971,none,dynamic,12,man,scratch
856,105,277.0740741,151,42352.42437,4284,29924,5.433884298,4.466666667,4.925019844,4.914808917,0.031776805,17.26705367,531.9021431,7,5.747774481,6.309889948,6.327191796,0.079891513,19.68210511,681.4681144,none,dynamic,12,man,scratch
734,116,241.75,140.5,28038.33879,3914,26109,5.288888889,4.437956204,4.955362386,4.949137931,0.030582815,18.33444896,535.1791377,6.78119349,5.835820896,6.321867166,6.354528128,0.054588565,20.86165124,682.761654,none,dynamic,12,man,scratch
312,131,183.7592593,175,1266.707857,1735,19846,5.226519337,4.25625,4.805233813,4.783027931,0.039914797,19.67917324,518.9652518,6.554545455,4.956521739,5.659262243,5.68436247,0.149521024,22.42717439,611.2003222,none,dynamic,12,man,stroke
407,115,213.2222222,203,5514.211838,2392,23028,5.484615385,4.235457064,4.958934244,4.9667285,0.089592791,19.24058471,535.5648983,6.591639871,5.248868778,5.834112907,5.85796403,0.075977389,20.17635443,630.084194,none,dynamic,12,man,stroke
432,118,209.5462963,186.5,5184.007182,2764,22631,5.395522388,4.368421053,4.944241174,4.978414483,0.052410611,19.26409305,533.9780468,6.706140351,5.135135135,5.843595211,5.787918871,0.104903257,20.76551068,631.1082828,none,dynamic,12,man,stroke
395,141,214.4259259,189.5,2888.377639,2133,23158,5.425675676,4.480620155,4.918411974,4.909902597,0.03811253,17.94867488,531.1884932,6.532258065,5.55443038,6.012707828,5.995340722,0.045392431,17.24779652,649.3724455,none,dynamic,12,man,stroke
272,135,168.6574074,166,388.9936829,1329,18215,5.345588235,4.549382716,4.950515566,4.969741846,0.025547872,17.16391241,534.6556811,6.08411215,5.080246914,5.562481662,5.559487925,0.035171922,17.45391297,600.7480195,none,dynamic,12,man,tickle
235,140,177.0555556,176,453.7352025,1452,19122,5.455445545,4.664921466,5.039676307,5.062431113,0.028847665,19.13464791,544.2850411,6.303664921,4.794520548,5.676459736,5.665631528,0.04471365,18.78728268,613.0576515,none,dynamic,12,man,tickle
237,144,171.8611111,168,446.0833333,1423,18561,5.374233129,4.543859649,4.991109496,5.006027596,0.032699055,17.25387516,539.0398255,6.050632911,5.179012346,5.655831109,5.646299983,0.033554868,17.00535369,610.8297598,none,dynamic,12,man,tickle
212,138,169.6203704,168.5,240.7797681,1225,18319,5.394736842,4.714285714,5.040887893,5.029239766,0.021694579,19.03133556,544.4158925,6,5.178343949,5.685435345,5.693722944,0.029206722,16.27150193,614.0270172,none,dynamic,12,man,tickle
2632,2372,2523.333333,2532.5,3568.392523,1603,272520,4.322706065,4.214465938,4.274849385,4.275151444,0.000478885,1.807443087,461.6837336,6.354995938,6.264040562,6.318867646,6.319731252,0.00036227,2.015297794,682.4377057,none,static,12,man,constant
2703,2568,2628.388889,2631,1124.090343,1701,283866,4.302235929,4.217425126,4.259417527,4.259308016,0.000301221,1.407909239,460.017093,6.345370726,6.279210926,6.313640899,6.310692286,0.000220984,1.618029258,681.873217,none,static,12,man,constant
2826,2670,2753.685185,2758.5,1895.713049,1860,297398,4.340106952,4.226141849,4.278395525,4.280991997,0.000402525,1.826477353,462.0667167,6.369723435,6.263215859,6.322416928,6.323316151,0.000401746,2.112652707,682.8210282,none,static,12,man,constant
