"V2","V3","V4","V5","V6","V7","V8","V9"
11,5,1,0,4,1,8,1
17,1,0,1,0,2,7,0
6,5,2,2,1,1,6,5
11,7,3,3,3,2,9,2
12,5,3,2,4,3,7,1
16,4,1,1,1,1,10,4
18,6,1,1,0,1,10,0
20,6,3,1,4,0,10,2
10,3,1,2,3,3,5,2
18,4,1,3,1,0,9,1
6,4,0,1,3,2,8,2
9,5,2,5,2,4,8,3
11,6,2,2,1,2,10,3
17,3,2,0,2,3,8,1
19,3,0,3,1,2,9,1
19,6,1,2,0,3,10,4
10,4,2,1,2,2,6,1
19,4,1,2,2,4,6,0
4,3,0,3,2,1,8,4
9,6,3,3,0,3,10,1
12,5,3,2,2,3,11,0
17,3,0,2,0,0,10,1
19,5,1,2,0,0,12,3
19,4,1,1,0,1,11,2
12,6,1,4,1,1,5,2
18,3,1,3,0,2,6,1
5,4,4,1,2,0,8,2
12,7,2,3,3,1,10,1
12,4,1,1,2,2,10,2
14,3,0,2,0,0,12,1
20,5,2,1,1,0,13,0
19,4,2,2,2,1,10,0
10,2,2,4,1,0,6,0
17,3,0,1,1,1,11,2
5,3,0,4,0,0,5,2
9,6,3,3,3,2,9,1
12,5,4,2,3,4,9,0
17,6,2,2,2,0,10,0
19,3,0,2,1,1,13,1
19,4,1,1,4,1,10,1
13,6,2,1,2,2,6,0
18,4,0,3,3,2,9,1
5,3,2,2,2,1,6,2
12,7,2,1,0,5,10,3
12,4,0,5,2,2,10,2
17,6,2,2,0,1,10,3
20,4,2,1,0,2,12,1
19,4,1,1,1,2,8,0
12,4,2,4,1,2,6,2
17,2,2,0,0,0,8,2
6,2,2,3,0,0,6,3
10,5,3,4,1,2,11,4
11,6,1,2,1,1,8,1
18,5,1,6,0,2,12,0
19,6,0,1,0,0,9,2
20,4,3,2,0,1,9,2
13,5,1,4,2,4,8,1
20,5,0,2,0,1,5,1
6,3,1,1,4,1,9,2
10,5,1,3,4,3,10,1
11,5,0,2,2,1,9,1
18,4,1,0,4,0,12,1
19,3,4,1,1,0,13,1
19,2,0,2,3,2,11,0
12,4,4,4,4,2,7,0
19,5,2,2,3,0,8,2
7,4,3,2,0,4,6,2
10,5,1,3,1,3,8,3
11,3,1,1,0,1,9,1
16,5,2,0,0,2,13,1
20,7,0,1,0,0,12,0
21,4,0,0,3,1,9,2
11,2,4,3,2,0,8,2
17,5,0,0,3,3,10,1
6,3,1,0,2,3,6,1
10,9,2,3,1,2,8,2
13,4,2,3,2,1,9,3
16,3,2,2,0,1,12,1
19,4,0,2,0,0,12,0
19,5,0,4,2,3,8,1
12,3,3,4,0,4,7,1
18,3,3,3,0,5,9,3
7,2,2,2,2,3,8,0
10,7,1,4,5,2,9,1
11,4,1,4,2,2,8,3
16,3,0,2,0,0,11,0
19,7,0,0,1,0,11,0
19,4,1,2,3,2,9,0
13,4,3,2,0,2,8,3
18,5,0,3,0,2,9,2
5,2,1,0,2,0,6,1
10,7,2,2,2,2,10,3
12,5,2,1,3,3,11,0
19,5,1,3,3,1,11,1
17,3,1,2,3,1,11,1
