"V2","V3","V4","V5","V6","V7","V8","V9"
12,3,4,52,381,105,72,19
6,9,0,55,384,101,74,13
8,5,4,24,42,29,39,17
8,1,8,26,55,38,48,14
11,8,5,22,34,26,29,11
7,4,2,50,232,95,89,19
5,4,4,58,487,127,99,23
13,4,2,53,382,101,79,17
9,2,0,60,373,101,83,10
2,4,5,60,374,101,78,20
11,7,4,23,42,29,36,16
6,6,0,30,55,38,50,13
10,5,7,21,33,27,29,13
14,2,9,47,234,94,86,22
13,8,0,53,483,124,98,18
6,5,0,61,369,98,87,13
11,0,5,62,362,97,78,20
12,1,5,54,366,104,75,20
8,3,1,23,42,26,38,16
10,4,5,30,55,37,48,13
10,4,8,19,33,26,28,14
6,7,4,47,234,93,84,17
6,6,0,62,483,117,100,13
12,0,0,58,363,96,79,15
12,2,5,55,358,94,73,18
5,1,3,50,363,99,75,20
9,5,7,26,42,30,39,18
12,1,7,24,54,40,45,18
11,10,5,19,35,26,30,12
7,7,0,46,234,91,90,18
14,0,0,59,475,119,100,16
17,2,10,56,350,98,74,19
7,3,5,48,348,97,78,19
8,7,0,50,349,95,80,8
12,2,8,24,41,31,38,18
10,5,6,24,59,40,48,17
8,6,4,17,33,28,32,10
9,6,0,44,232,88,91,16
18,0,4,58,472,119,97,27
10,2,7,45,335,98,81,19
7,8,3,51,331,90,81,13
13,0,0,52,334,92,77,15
12,4,6,22,43,33,37,20
8,9,3,23,55,38,50,13
8,7,2,23,33,26,28,12
15,0,0,48,235,91,87,19
14,5,5,55,472,122,97,22
2,10,4,52,330,91,86,22
12,5,0,56,327,94,77,9
17,2,0,51,325,98,78,17
10,8,6,22,44,30,41,18
10,3,0,28,55,36,50,14
13,1,2,20,33,27,26,15
8,4,6,44,232,93,89,23
8,4,4,53,472,117,102,21
14,3,3,55,332,92,78,16
12,0,0,55,326,94,75,18
10,0,0,50,327,95,75,18
10,6,4,24,41,29,38,16
12,1,1,23,57,38,47,13
9,4,5,17,33,28,29,15
6,9,6,47,231,91,93,19
10,8,0,55,470,116,106,16
15,1,0,51,334,101,73,16
14,0,4,54,326,96,72,19
3,0,3,43,332,91,84,19
11,1,3,23,41,31,38,16
8,2,3,23,55,42,47,19
7,9,6,20,33,25,30,12
8,6,0,44,233,90,95,19
19,4,0,57,466,124,94,18
12,0,8,52,339,99,80,21
2,2,4,44,337,92,84,22
14,10,0,51,338,95,79,13
10,1,5,22,40,32,36,19
6,4,6,27,55,35,53,18
10,10,4,18,34,26,30,12
13,5,0,47,228,93,88,17
9,0,1,52,463,123,99,21
4,2,6,47,350,95,80,21
9,5,0,45,345,99,80,19
15,0,1,52,344,99,81,12
6,3,4,22,43,27,40,20
5,6,1,24,54,35,51,16
12,8,5,21,33,28,27,12
10,0,1,45,226,92,88,18
10,1,0,56,464,115,100,21
4,6,0,51,357,96,86,21
