"V2","V3","V4","V5","V6","V7","V8","V9"
2,7,24,41,21,24,15,16
2,5,10,15,8,10,8,5
2,8,38,38,34,33,30,31
2,9,31,35,29,30,25,23
3,4,13,16,12,13,10,10
0,9,135,182,113,123,71,83
0,8,136,211,91,102,52,63
0,8,27,44,22,25,15,19
0,7,26,40,19,22,16,16
3,4,11,14,9,12,6,6
2,9,36,37,36,34,30,30
2,9,30,35,28,28,24,26
1,4,15,16,12,13,11,9
1,6,135,186,113,122,73,82
0,8,135,213,90,101,51,64
1,7,28,44,23,24,15,18
3,5,25,39,20,24,15,15
3,4,12,14,8,10,5,7
2,11,36,38,36,34,30,30
2,8,31,35,30,28,24,24
3,4,14,16,12,13,10,9
1,8,135,186,114,123,73,82
0,10,135,211,90,102,50,63
2,8,27,44,23,24,16,19
1,7,26,40,20,22,15,15
2,6,10,15,9,9,7,6
2,10,35,39,37,34,30,30
2,10,30,35,29,29,24,23
3,4,15,16,12,13,10,10
2,8,135,180,113,125,71,82
0,8,135,209,91,102,53,62
4,8,30,46,23,24,15,15
3,7,26,39,20,24,15,15
3,7,11,14,9,11,5,5
1,10,37,39,34,34,32,28
4,7,32,35,29,30,23,24
3,6,14,16,13,13,9,10
0,10,133,179,113,123,72,79
0,8,135,205,91,101,52,61
4,6,28,42,22,24,14,17
1,8,25,37,21,24,14,14
2,5,10,15,8,9,6,4
3,8,36,37,34,33,28,31
3,9,31,35,30,30,24,23
1,5,14,16,13,14,11,10
0,5,132,175,110,120,70,79
0,7,136,202,90,102,51,61
0,9,27,41,22,24,15,15
1,6,25,39,21,23,14,15
2,4,12,15,8,11,5,7
3,9,36,38,34,34,30,28
2,9,31,34,29,29,25,23
4,4,14,16,13,13,10,10
1,7,130,169,109,120,69,78
0,9,132,195,89,99,51,58
1,8,27,41,21,24,15,15
4,6,27,38,21,22,14,14
3,6,12,14,8,10,6,5
2,9,35,38,36,34,31,28
3,7,31,34,29,30,24,25
1,5,15,15,12,13,10,9
0,8,126,161,107,117,69,76
0,6,131,190,87,100,52,59
2,6,28,40,19,22,14,16
1,7,25,35,19,23,13,13
2,6,11,13,9,9,8,4
2,8,37,40,35,34,31,31
4,9,31,34,30,31,24,24
2,4,12,14,13,12,10,9
0,7,125,159,106,115,70,75
1,4,132,189,89,99,51,59
0,8,28,40,20,25,15,16
0,9,25,35,21,22,16,12
4,3,10,16,9,9,6,6
2,11,37,38,37,36,30,29
1,9,30,34,28,30,26,23
3,5,14,15,13,13,9,9
0,7,127,162,108,119,69,77
0,8,132,191,90,102,52,59
2,9,28,42,22,24,16,16
2,5,26,40,21,24,14,17
2,5,13,14,9,11,5,8
2,9,36,37,35,35,32,29
4,9,32,35,30,31,25,24
2,3,14,15,13,15,9,11
0,9,128,161,108,119,70,75
0,7,134,196,92,101,53,59
2,4,27,41,22,25,14,17
0,7,27,37,20,26,15,15
1,6,12,15,9,10,8,5
3,8,35,39,35,34,29,29
2,8,32,34,29,30,24,23
0,5,14,14,13,13,11,8
0,8,127,164,108,116,70,76
0,9,135,195,93,101,50,61
2,7,29,41,21,26,16,16
1,6,29,39,23,24,17,13
3,6,11,15,10,10,6,5
0,9,37,39,36,36,31,30
2,11,30,35,30,29,25,21
2,3,13,17,13,13,9,11
2,8,127,166,108,119,69,78
0,8,135,198,91,102,53,60
0,8,29,41,24,24,16,15
4,8,26,41,24,24,15,16
3,4,10,15,8,12,5,7
2,10,37,38,36,33,31,29
4,9,30,34,30,30,23,23
3,5,14,16,11,14,9,10
0,8,130,170,111,120,72,79
0,7,138,202,93,101,53,60
3,8,29,44,22,24,15,16
1,6,28,40,22,26,15,17
3,5,12,15,9,9,7,7
3,7,35,38,35,34,30,31
2,8,32,35,29,29,24,23
0,6,14,16,14,12,11,9
1,10,130,171,112,120,70,77
1,8,138,206,93,102,51,61
2,7,29,43,22,24,16,17
1,7,29,43,26,25,18,15
2,5,13,16,9,12,6,7
2,9,37,39,35,33,31,30
1,8,30,34,30,29,25,22
3,6,14,15,13,13,9,9
1,9,130,171,112,122,70,79
0,8,137,206,92,100,53,62
4,7,30,43,24,23,15,17
1,8,28,43,24,27,15,15
3,4,12,18,9,12,7,8
0,9,38,38,36,33,32,29
3,10,30,34,29,30,23,23
6,6,14,16,12,14,9,10
0,7,133,178,113,121,73,81
0,7,137,206,94,101,53,60
3,8,28,44,22,25,14,14
1,8,28,45,24,25,15,16
4,4,13,16,10,9,5,6
3,10,35,39,35,34,30,30
4,9,29,35,28,30,24,25
0,4,14,16,14,12,12,10
0,8,134,179,115,123,72,79
0,10,136,209,92,102,53,60
4,8,28,44,23,24,14,17
0,6,30,44,25,24,15,15
2,4,12,17,9,12,7,7
2,10,37,38,35,35,31,31
1,8,30,33,30,28,25,23
