"V2","V3","V4","V5","V6","V7","V8","V9"
1,2,3,7,7,5,8,4
0,3,4,7,6,6,5,1
2,2,15,22,21,16,18,5
1,1,11,17,17,10,14,3
0,0,0,2,1,3,1,0
1,0,40,93,77,38,47,3
1,0,22,59,46,20,24,5
2,1,0,3,3,0,2,1
1,3,8,10,8,6,6,1
1,1,4,11,9,6,5,2
2,2,18,20,18,15,17,3
0,4,12,17,12,12,13,4
1,1,3,5,5,2,2,2
2,0,37,76,47,37,41,3
0,0,23,47,28,19,24,4
1,3,1,5,2,1,1,0
0,1,5,9,7,6,5,1
2,1,4,9,6,4,4,3
2,4,17,21,19,17,18,2
3,4,13,18,16,11,13,4
1,0,3,4,6,2,3,2
0,2,42,74,52,40,43,1
0,2,23,47,31,19,23,2
1,0,0,5,5,2,1,2
2,1,4,7,5,4,4,2
1,1,5,9,7,5,5,2
2,2,16,20,18,17,16,5
4,2,13,15,15,10,12,4
0,0,3,2,1,0,2,0
1,3,38,68,46,36,37,2
2,3,22,43,30,21,19,4
2,1,3,6,5,3,2,3
1,2,4,9,6,4,6,1
2,2,5,8,6,4,4,2
3,3,14,18,15,15,15,4
2,3,11,16,11,11,12,4
0,0,0,1,3,3,3,0
3,1,27,39,35,25,28,5
0,0,18,28,21,15,18,3
1,3,3,6,3,3,2,1
2,0,4,8,7,5,5,3
1,0,5,5,7,3,4,1
1,1,14,17,15,17,16,4
3,2,10,11,13,12,12,5
2,1,3,4,4,2,4,1
0,1,17,26,21,20,22,2
0,2,13,21,15,17,18,3
2,1,1,1,3,2,1,2
0,0,6,5,5,4,5,3
1,1,5,7,6,4,7,2
2,2,13,12,11,10,10,5
4,1,10,11,8,7,8,6
0,1,2,4,1,2,2,0
0,1,16,19,8,10,11,5
3,0,15,12,11,11,11,4
2,1,3,4,2,1,1,0
0,2,4,6,4,5,6,2
2,2,6,5,4,6,4,3
1,2,10,8,8,5,7,4
3,3,6,6,5,4,7,3
0,2,1,1,0,2,2,2
0,1,9,5,7,5,6,2
3,0,7,7,6,6,8,4
0,2,1,2,0,1,1,0
0,2,5,6,4,4,4,2
1,1,4,2,4,3,4,2
5,4,9,9,6,10,8,4
3,4,7,5,5,6,5,4
0,1,3,2,4,2,3,1
1,2,7,8,6,6,9,4
1,5,7,8,5,8,8,2
0,1,2,0,2,3,2,2
2,2,4,4,4,4,6,4
0,4,2,6,4,4,4,1
5,3,6,7,6,5,5,2
1,3,3,4,4,3,4,5
0,2,1,1,2,1,2,1
3,3,6,5,4,4,5,0
1,2,6,4,3,6,6,2
1,1,2,1,1,1,0,2
0,3,5,4,4,3,3,1
2,2,2,4,2,3,4,2
4,5,4,2,2,1,4,5
1,2,1,2,1,1,1,2
0,2,1,2,0,2,3,1
1,2,3,2,0,2,3,2
2,3,3,2,2,2,2,3
0,1,0,2,1,0,3,0
1,3,1,1,0,0,0,0
2,1,2,1,0,2,3,3
2,3,1,3,1,2,3,1
0,2,2,1,0,1,3,1
2,1,2,0,0,0,2,3
2,3,2,2,3,1,4,3
2,3,2,5,2,3,4,2
1,1,1,0,0,0,2,1
2,0,2,0,0,0,0,3
2,3,0,1,3,2,3,0
3,3,4,2,1,2,5,3
3,1,0,1,3,0,1,2
0,3,0,2,1,0,2,1
0,3,2,2,1,3,5,1
2,2,2,0,1,1,4,5
2,1,2,1,1,0,0,1
0,3,0,1,1,0,2,0
0,1,1,2,0,0,3,2
2,4,1,1,4,2,3,1
0,4,0,1,1,1,3,0
0,1,2,1,0,2,3,0
3,2,1,0,0,0,1,3
2,5,1,2,2,3,3,0
1,2,0,1,1,0,4,0
2,0,1,2,0,1,2,2
2,3,2,0,2,3,3,2
0,3,3,4,1,2,5,3
3,1,3,1,0,2,3,2
3,2,0,0,2,0,1,0
1,5,0,2,3,1,4,0
1,2,3,4,2,2,4,4
2,0,2,0,0,0,0,1
0,2,1,0,1,0,2,0
0,3,0,3,0,1,4,1
3,3,4,0,1,2,4,2
1,3,0,0,3,0,2,1
0,3,0,2,0,1,4,0
1,1,2,2,0,0,3,2
4,4,2,1,4,2,3,3
1,3,1,1,2,2,3,1
0,1,0,0,0,0,4,1
2,2,2,4,3,1,4,3
2,5,1,3,4,1,5,2
0,3,1,4,0,1,2,1
1,1,1,2,0,1,2,2
2,2,4,2,2,2,3,0
1,4,1,1,4,2,4,2
0,1,0,0,0,1,3,0
1,0,1,1,0,0,0,0
0,2,2,2,2,3,4,2
2,3,2,4,3,2,4,2
3,1,3,1,0,3,2,2
1,2,2,1,2,1,3,0
0,4,0,1,1,3,4,0
