"V2","V3","V4","V5","V6","V7","V8","V9"
15,4,3,7,2,1,11,1
20,3,0,7,2,2,9,5
9,5,4,5,4,3,12,3
8,3,1,8,6,3,8,4
11,4,3,7,1,2,7,3
16,5,3,7,0,2,11,0
19,5,0,7,1,0,9,1
19,1,0,10,4,1,8,3
12,2,2,7,2,1,7,3
17,7,2,4,1,1,7,2
12,5,2,5,0,3,12,2
10,3,2,5,3,1,9,0
12,4,4,8,4,2,9,4
16,5,3,10,0,1,11,2
19,5,2,7,0,3,13,1
19,2,0,6,2,1,9,1
13,3,3,8,2,3,5,2
16,4,2,7,0,1,11,2
10,3,1,6,3,1,9,3
8,5,3,6,2,3,4,4
11,7,2,5,1,1,8,4
19,3,0,7,4,0,7,1
20,5,0,11,0,2,9,3
17,3,2,8,1,1,8,2
15,4,2,7,3,0,5,3
16,3,2,5,1,1,7,4
12,7,2,7,3,3,14,2
11,4,3,3,5,1,7,1
11,3,1,7,0,2,9,4
18,4,2,10,0,2,11,2
21,6,2,8,3,0,11,2
20,6,1,5,3,4,9,3
14,4,3,9,0,3,9,4
17,6,3,8,3,1,8,5
11,7,3,7,3,2,11,4
11,4,1,5,4,4,5,2
10,4,2,6,0,1,9,4
17,5,2,9,3,1,9,1
21,5,2,9,2,1,8,0
18,2,0,7,1,2,7,3
13,2,1,8,3,2,7,2
17,3,4,7,4,5,8,1
10,5,3,6,2,3,12,2
8,5,2,4,2,1,8,0
12,4,2,6,1,1,8,2
16,2,0,8,0,1,9,1
19,4,0,8,0,0,11,1
18,4,3,7,3,2,9,2
14,5,0,8,0,0,7,2
15,3,0,8,0,1,7,1
10,4,4,7,3,3,12,4
8,6,2,6,2,2,6,2
11,5,2,6,4,1,8,2
17,2,0,9,0,1,11,0
18,4,0,10,1,0,9,0
17,4,2,8,3,0,11,2
15,5,5,8,3,3,9,0
15,4,0,7,2,3,8,0
10,4,4,5,4,2,12,3
8,6,0,4,1,3,6,2
11,5,2,8,2,2,7,2
17,4,5,8,2,2,12,2
18,4,1,6,1,2,9,1
19,5,0,7,0,3,7,1
12,4,1,8,5,1,6,2
14,3,5,2,1,3,8,1
12,3,3,7,3,4,12,4
8,3,4,6,5,3,8,2
13,7,5,5,2,2,10,0
18,5,0,8,2,2,11,1
18,3,0,10,2,0,10,3
17,3,1,7,3,4,12,1
13,5,1,8,3,2,9,2
15,6,1,7,4,1,7,1
10,4,3,7,2,5,13,4
8,6,3,5,1,5,8,2
13,5,1,5,2,5,8,3
19,6,1,7,0,5,8,1
16,2,0,7,0,3,10,2
17,3,4,7,0,5,8,1
13,5,2,9,3,6,6,2
14,6,2,6,0,5,6,4
10,5,4,6,3,9,11,0
10,4,1,6,5,8,7,3
12,2,2,4,5,7,10,3
16,6,1,8,3,16,13,0
18,5,2,10,4,18,12,0
18,4,0,6,6,13,11,1
13,2,1,6,3,15,11,3
13,4,3,8,1,17,8,0
11,5,3,4,0,10,9,2
9,6,1,5,1,12,5,1
12,3,1,5,0,8,6,3
16,5,2,7,0,18,10,3
16,6,0,9,0,23,8,1
19,6,0,8,1,20,7,1
15,2,3,6,2,18,8,4
14,3,3,7,1,22,9,1
10,7,2,5,5,6,10,4
9,4,1,4,4,7,8,3
9,3,2,6,2,10,6,1
16,6,0,6,3,15,8,1
19,2,2,8,2,21,9,2
18,3,0,10,4,18,8,1
14,6,2,8,5,18,7,2
14,4,1,8,1,19,5,1
8,5,5,6,1,9,12,6
9,7,0,4,3,9,7,6
10,2,1,5,0,10,9,4
14,4,3,5,1,15,10,6
14,3,0,8,1,19,11,4
15,5,0,6,1,15,8,5
13,4,6,6,3,12,9,8
13,4,1,6,3,19,11,4
8,4,2,7,3,9,11,2
8,7,1,2,3,7,7,3
11,3,3,5,3,9,11,4
12,4,1,7,2,16,10,2
15,5,0,8,3,20,11,0
15,3,3,6,2,16,8,3
12,4,2,4,2,14,10,5
14,4,0,2,2,22,12,1
11,3,3,3,2,8,14,4
7,5,4,2,3,7,9,5
11,3,2,4,4,9,14,1
13,5,1,1,2,12,16,3
18,1,3,1,5,14,21,1
15,3,2,1,5,14,17,3
11,4,2,2,5,14,13,1
15,5,2,3,5,14,10,1
11,4,2,4,3,5,7,2
7,5,0,6,4,8,8,4
10,5,2,5,7,10,12,2
16,3,3,9,5,16,11,3
16,3,0,8,7,18,9,2
16,3,1,8,3,15,10,5
15,3,1,6,5,14,10,3
17,2,0,5,6,15,7,1
7,4,2,4,6,7,11,1
8,4,3,4,8,7,6,1
13,4,2,5,12,10,9,3
15,5,2,5,13,11,12,2
15,7,5,3,17,16,14,0
17,3,2,4,17,13,8,2
16,3,3,7,18,11,11,1
15,4,4,3,21,11,10,1
7,4,2,6,7,6,11,5
8,3,0,7,6,8,9,1
9,8,1,8,12,13,12,1
13,3,0,6,17,11,9,2
15,4,1,10,20,14,14,0
13,4,1,9,18,13,11,0
13,4,1,8,19,10,9,1
15,3,0,11,21,10,9,2
8,5,1,7,8,6,13,3
8,3,1,6,8,7,13,1
12,4,2,6,12,8,13,2
15,3,0,4,14,8,13,2
15,4,0,5,17,8,17,1
14,3,3,6,17,11,13,2
15,3,1,3,18,9,10,3
17,4,1,4,18,7,10,1
7,4,3,5,8,5,10,2
10,4,2,4,7,5,9,4
10,8,3,5,9,9,14,1
14,3,2,5,13,10,10,1
16,4,1,5,15,10,10,4
15,7,3,10,14,8,9,1
15,6,0,6,15,8,11,1
16,3,0,7,19,8,6,5
7,4,3,4,11,8,13,1
13,4,5,4,12,6,9,3
10,4,5,4,12,9,12,2
13,3,3,4,15,10,12,0
16,3,3,1,18,10,11,2
13,1,5,3,16,8,9,1
12,3,2,1,18,7,10,1
16,2,2,0,19,9,8,1
9,6,2,4,7,7,11,4
7,6,2,3,8,10,11,3
12,4,0,2,14,8,12,4
14,5,1,4,15,9,8,1
10,5,0,1,19,11,10,0
15,4,1,2,17,10,8,3
13,8,2,4,19,10,6,0
12,3,0,0,19,8,6,1
8,4,4,0,9,7,11,3
8,6,3,1,9,7,8,1
8,5,1,5,11,7,11,3
11,3,3,2,10,11,9,1
12,4,1,2,15,13,8,0
11,4,0,2,15,8,9,0
11,5,2,7,10,7,8,3
12,3,0,5,14,11,4,4
11,8,3,5,2,9,10,5
11,5,0,6,3,9,9,4
15,6,4,10,3,10,12,3
19,3,4,6,1,15,9,4
19,6,1,7,4,20,9,1
20,4,2,9,3,11,9,2
17,4,1,7,4,15,8,2
18,4,3,6,6,14,6,3
11,4,4,1,5,8,11,3
10,2,4,1,4,6,6,1
13,6,2,7,7,12,10,0
17,1,1,8,4,14,10,0
17,3,2,7,6,17,10,1
18,4,3,6,10,13,7,1
15,2,2,4,6,11,8,1
17,5,4,5,3,9,8,0
11,4,2,6,3,7,13,2
8,5,3,3,0,7,6,4
12,5,1,5,2,12,11,3
19,4,2,8,5,11,10,1
18,2,3,5,1,16,9,2
18,4,3,2,2,11,9,2
16,4,1,6,4,11,8,1
16,0,0,7,1,8,8,0
9,4,2,5,4,8,12,3
7,5,1,5,6,2,8,1
13,3,2,7,1,7,11,2
16,4,2,3,0,8,8,1
16,6,0,5,3,4,12,0
18,4,1,8,1,5,9,1
15,4,2,7,0,8,6,3
14,7,2,3,1,6,8,3
9,4,1,7,1,5,13,4
5,5,2,5,2,6,8,3
14,5,3,4,3,5,9,3
17,3,1,6,1,1,9,0
20,2,1,8,1,5,8,0
17,4,4,5,1,4,9,2
16,4,1,7,5,4,8,0
19,2,0,6,2,4,7,0
10,5,3,7,4,5,12,3
9,4,2,3,2,3,9,4
