"V2","V3","V4","V5","V6","V7","V8","V9"
1,3,9,9,10,7,7,4
1,6,10,13,9,10,8,6
2,2,9,9,13,11,11,3
0,0,4,4,5,5,5,0
0,0,0,3,0,1,0,0
2,0,23,36,37,40,37,2
1,1,20,32,54,31,29,1
3,4,7,10,11,7,9,3
0,2,4,6,7,6,5,0
2,2,6,10,14,12,10,2
1,5,10,16,12,11,12,6
0,0,3,5,6,4,3,2
1,0,1,0,0,1,0,2
1,3,29,41,48,37,24,13
0,1,15,36,55,40,21,10
3,4,4,9,12,9,5,4
2,2,2,1,3,3,2,1
2,2,8,12,11,9,9,6
2,6,9,14,16,16,10,6
1,0,3,3,4,3,5,2
0,1,1,0,0,0,1,0
0,5,25,59,49,73,32,6
0,6,22,62,47,65,24,3
3,3,6,8,8,9,5,4
0,1,2,6,6,7,7,2
1,7,6,10,8,10,7,1
3,1,11,15,15,17,17,5
1,1,4,6,5,7,5,0
0,0,1,2,0,3,3,1
3,1,30,67,54,68,30,6
1,0,25,70,43,55,26,6
1,3,6,12,7,14,8,3
2,2,7,15,11,23,12,3
1,2,5,7,6,10,5,2
2,5,15,19,13,20,11,3
1,1,1,1,5,3,2,1
0,2,7,5,3,4,3,1
0,4,42,95,46,97,15,3
0,4,35,88,38,91,11,2
5,4,10,16,14,18,4,3
2,3,18,29,28,27,9,2
1,2,5,9,9,9,5,3
2,5,21,17,18,22,9,3
2,1,9,7,8,9,3,2
0,2,7,8,8,7,5,1
0,6,81,60,63,92,12,0
2,4,71,61,54,81,11,2
5,5,14,15,14,13,8,5
1,5,23,35,25,22,8,3
1,4,9,9,7,9,5,1
4,19,19,19,18,19,12,3
1,8,10,8,9,7,4,1
1,9,9,10,10,8,8,1
0,76,76,78,65,58,23,1
0,76,84,95,64,52,19,0
4,16,19,20,16,12,9,4
2,29,36,39,25,21,13,2
0,11,11,14,8,8,4,1
3,26,21,20,22,16,15,2
0,6,5,3,3,3,5,0
1,14,12,11,10,10,9,0
0,80,76,74,73,56,30,0
3,88,90,86,73,50,24,3
3,23,21,20,18,12,9,2
2,27,26,25,22,17,13,0
3,10,13,11,9,7,5,3
2,20,18,18,23,14,20,4
3,7,6,6,7,5,5,0
2,10,10,8,10,6,8,2
2,55,61,50,73,30,25,2
0,64,65,39,70,29,22,0
3,16,14,11,15,11,8,2
2,16,16,11,17,9,8,4
4,8,10,7,11,6,4,2
2,21,20,17,19,16,11,1
2,7,7,5,8,6,4,2
1,8,8,8,10,5,4,2
0,69,64,60,80,42,14,0
1,65,77,50,71,48,11,0
3,14,17,10,15,11,6,5
2,17,17,13,19,14,7,0
0,12,10,8,11,9,6,1
8,20,19,17,24,18,4,4
2,9,5,8,12,8,3,1
2,8,8,7,9,7,5,2
6,76,80,68,124,58,4,1
7,59,62,45,115,56,4,1
5,15,12,10,24,14,6,1
5,14,15,13,19,15,4,2
5,7,7,5,10,8,2,4
12,20,20,21,24,18,4,1
4,10,11,8,11,10,2,4
5,9,8,6,10,9,3,1
21,85,83,71,135,74,3,0
15,74,72,53,126,74,3,0
8,16,18,12,24,17,4,2
9,16,18,12,23,16,3,1
4,9,6,5,13,9,3,1
14,22,21,21,24,21,5,3
8,14,8,9,11,9,2,0
4,10,8,8,10,8,3,0
30,107,101,90,143,79,3,0
25,94,90,72,134,75,3,1
9,18,16,13,25,15,3,3
8,19,16,14,22,18,5,0
3,6,7,9,8,7,3,2
13,24,20,20,22,18,5,1
7,13,10,11,11,7,3,0
4,8,8,8,9,7,4,2
25,89,87,87,118,63,3,1
19,89,82,67,108,49,2,0
6,17,15,15,22,10,7,2
8,18,18,17,22,12,2,1
4,6,7,6,9,7,3,5
5,15,14,16,14,13,7,1
2,5,5,6,5,7,2,1
4,8,7,6,6,5,2,1
9,53,45,43,35,29,5,1
8,46,35,31,30,20,5,0
7,13,11,9,10,6,3,2
6,15,15,12,15,9,4,2
2,7,5,4,6,2,4,0
5,9,12,12,10,11,5,5
2,4,3,3,4,4,2,2
2,8,5,5,6,4,5,0
3,18,17,29,19,21,4,1
7,19,20,27,23,14,2,1
3,10,9,9,7,7,5,2
3,13,8,11,12,6,6,1
5,5,4,4,5,6,3,1
2,11,8,7,9,4,9,1
2,4,4,4,4,4,2,0
3,4,5,6,4,5,5,2
1,27,25,22,19,14,12,3
0,22,16,21,16,13,10,0
4,8,8,10,6,5,4,2
3,11,12,9,9,8,6,2
0,7,7,4,7,5,4,1
4,6,7,7,8,6,2,3
0,2,2,3,1,1,2,2
