"V1","V2","V3"
"framesum","col","row"
"198","5.62626262626263","5.28787878787879"
"184","5.55434782608696","5.34239130434783"
"186","5.51075268817204","5.3010752688172"
"205","5.70243902439024","5.31707317073171"
"196","5.6530612244898","5.24489795918367"
"208","5.47596153846154","5.26923076923077"
"319","5.20062695924765","5.63322884012539"
"455","5.22197802197802","5.95384615384615"
"359","5.3008356545961","5.35376044568245"
"295","5.3728813559322","5.50169491525424"
"355","5.27323943661972","5.65352112676056"
"319","5.07836990595611","5.3448275862069"
"305","5.15081967213115","5.69508196721311"
"224","5.48214285714286","5.23214285714286"
"196","5.69387755102041","5.36734693877551"
"226","5.51327433628319","5.3716814159292"
"201","5.5771144278607","5.37810945273632"
"195","5.36923076923077","5.3025641025641"
"203","5.45320197044335","5.27586206896552"
"206","5.54368932038835","5.19902912621359"
"213","5.54929577464789","5.35211267605634"
"217","5.52534562211982","5.55299539170507"
"217","5.47004608294931","5.50230414746544"
"213","5.69014084507042","5.54929577464789"
"202","5.39108910891089","5.56435643564356"
"213","5.3849765258216","5.52582159624413"
"213","5.58215962441315","5.50234741784038"
"212","5.62264150943396","5.4811320754717"
"196","5.28571428571429","5.61734693877551"
"206","5.52427184466019","5.27669902912621"
"253","5.63241106719368","5.8695652173913"
"400","5.48","6.27"
"406","5.35714285714286","6.16256157635468"
"379","5.20052770448549","5.94722955145119"
"404","5.08663366336634","6.0470297029703"
"348","5.32471264367816","5.78735632183908"
"349","5.37535816618911","5.78510028653295"
"229","5.64192139737991","5.41921397379913"
"200","5.6","5.56"
"217","5.59447004608295","5.54377880184332"
"211","5.739336492891","5.41232227488152"
"221","5.75565610859729","5.39366515837104"
"191","5.77486910994764","5.35078534031414"
"208","5.55288461538461","5.27884615384615"
"210","5.57619047619048","5.48571428571429"
"188","5.52127659574468","5.31382978723404"
"201","5.72139303482587","5.4726368159204"
"196","5.71428571428571","5.45408163265306"
"209","5.51674641148325","5.50239234449761"
"224","5.65178571428571","5.59375"
"203","5.69950738916256","5.29556650246305"
"197","5.73604060913706","5.26395939086294"
"204","5.52941176470588","5.28921568627451"
"250","5.672","5.656"
"441","5.31292517006803","6.22448979591837"
"448","5.16294642857143","6.20758928571429"
"394","4.96700507614213","6.16243654822335"
"399","5.17794486215539","6.18546365914787"
"321","5.27725856697819","5.72897196261682"
"326","5.29754601226994","5.76380368098159"
"228","5.25877192982456","5.62280701754386"
"205","5.1219512195122","4.84878048780488"
"208","5.5","5.32692307692308"
"215","5.53488372093023","5.27906976744186"
"195","5.54871794871795","5.48205128205128"
"200","5.295","5.445"
"204","5.45588235294118","5.41666666666667"
"213","5.43661971830986","5.49765258215962"
"211","5.42654028436019","5.45497630331754"
"214","5.66822429906542","5.42523364485981"
"192","5.38541666666667","5.54166666666667"
"202","5.54950495049505","5.43069306930693"
"218","5.71100917431193","5.57339449541284"
"213","5.53521126760563","5.39906103286385"
"193","5.74093264248705","5.34715025906736"
"217","5.3594470046083","5.5852534562212"
