"V1","V2","V3"
"framesum","col","row"
"272","5.25735294117647","4.22426470588235"
"145","5.20689655172414","5.55172413793103"
"108","5.46296296296296","5.38888888888889"
"134","4.82089552238806","5.07462686567164"
"129","5.44961240310078","5.36434108527132"
"106","5.80188679245283","5.32075471698113"
"155","5.43225806451613","5.32258064516129"
"139","5.28776978417266","5.68345323741007"
"129","5.4031007751938","5.83720930232558"
"107","6.00934579439252","5.51401869158879"
"133","4.81203007518797","5.69924812030075"
"128","5.5703125","5.2421875"
"123","5.04065040650407","5.04065040650407"
"129","5.50387596899225","5.52713178294574"
"183","5.33333333333333","5.91803278688525"
"116","5.63793103448276","5.42241379310345"
"144","5.9375","5.28472222222222"
"146","5.18493150684932","5.43835616438356"
"123","5.26016260162602","5.2520325203252"
"134","4.87313432835821","5.12686567164179"
"108","5.49074074074074","5.90740740740741"
"144","5.40277777777778","4.88888888888889"
"118","5.28813559322034","5.61864406779661"
"134","5.37313432835821","5.62686567164179"
"123","5.69105691056911","5.49593495934959"
"115","5.27826086956522","5.23478260869565"
"125","5.272","4.888"
"115","5.24347826086957","5.52173913043478"
"140","5.21428571428571","5.17857142857143"
"138","5.66666666666667","5.04347826086957"
"132","5.60606060606061","5.50757575757576"
"135","5.52592592592593","5.51111111111111"
"139","5.15107913669065","5.15107913669065"
"146","5.21232876712329","5.3013698630137"
"129","5.26356589147287","5.54263565891473"
"135","5.2","5.52592592592593"
"148","5.61486486486486","5.76351351351351"
"137","5.61313868613139","5.62773722627737"
"122","5.86065573770492","5.36885245901639"
"147","5.70748299319728","5.89795918367347"
"141","5.50354609929078","5.80851063829787"
"130","5.52307692307692","5.33076923076923"
"160","5.6875","5.86875"
"166","5.24698795180723","5.53614457831325"
"140","5.52142857142857","5.47142857142857"
"154","5.63636363636364","6.11038961038961"
"146","5.65068493150685","5.74657534246575"
"119","5.61344537815126","5.5546218487395"
"120","5.15","5.28333333333333"
"154","5.86363636363636","5.30519480519481"
"112","5.69642857142857","5.5"
"126","5.35714285714286","5.23015873015873"
"115","5.23478260869565","5.44347826086956"
"143","5.11188811188811","5.44755244755245"
"92","5.69565217391304","5.02173913043478"
"113","5.42477876106195","5.4070796460177"
"128","5.3515625","5.4140625"
"123","5.34146341463415","5.51219512195122"
"131","5.73282442748092","4.90076335877863"
"114","5.1140350877193","5.42105263157895"
"127","4.68503937007874","5.37007874015748"
"116","5.32758620689655","5.76724137931035"
"114","5.86842105263158","4.83333333333333"
"119","5.82352941176471","5.15966386554622"
"131","5.45038167938931","5.46564885496183"
"127","5.69291338582677","4.92125984251969"
"131","5.81679389312977","5.40458015267176"
"111","5.85585585585586","5.18918918918919"
"180","5.46111111111111","5.6"
"128","5.0078125","4.6328125"
"154","5.45454545454545","5.18181818181818"
"137","4.98540145985401","5.30656934306569"
"135","5.38518518518519","4.96296296296296"
"116","5.21551724137931","5.13793103448276"
"114","5.1140350877193","4.68421052631579"
"116","5.20689655172414","5.39655172413793"
"147","5.23809523809524","5.17006802721088"
"136","5.33823529411765","5.47058823529412"
"140","4.93571428571429","5.33571428571429"
"125","5.36","5.232"
"125","5.368","5.24"
"129","5.65116279069767","5.30232558139535"
"123","5.27642276422764","5.02439024390244"
"121","5.59504132231405","5.70247933884298"
"132","5.8030303030303","5.32575757575758"
"122","5.45901639344262","5.95081967213115"
"133","5.88721804511278","5.71428571428571"
"124","5.46774193548387","5.41935483870968"
"128","5.3125","5.3515625"
"133","5.65413533834586","5.72932330827068"
"125","5.456","5.224"
"105","5.27619047619048","5.36190476190476"
"103","5.38834951456311","5.92233009708738"
"129","5.31007751937984","5.58914728682171"
"174","5.12068965517241","5.82758620689655"
"145","4.95862068965517","5.62758620689655"
"152","4.875","5.48684210526316"
"134","4.83582089552239","5.23880597014925"
"150","4.76","5.56666666666667"
"138","5.07971014492754","5.50724637681159"
"130","4.62307692307692","5.93076923076923"
"139","5.28057553956835","5.47482014388489"
"132","5.04545454545455","5.38636363636364"
"138","5.5","5.26086956521739"
"137","5.2043795620438","5.35766423357664"
"143","5.59440559440559","5.51748251748252"
"120","5.39166666666667","5.19166666666667"
"106","5.52830188679245","5.47169811320755"
"116","5.5","5.31034482758621"
"114","5.75438596491228","5.44736842105263"
"153","5.41830065359477","5.1437908496732"
"113","5.3716814159292","5.43362831858407"
"137","5.23357664233577","5.0948905109489"
"112","5.25","5.1875"
"139","5.65467625899281","4.98561151079137"
"115","5.33913043478261","5.01739130434783"
"128","4.75","5.1171875"
"124","5.20161290322581","5.45967741935484"
"134","5.17164179104478","5.23880597014925"
"125","5.392","4.728"
"121","5.71074380165289","5.32231404958678"
"140","5.22857142857143","5.15"
