"V1","V2","V3"
"framesum","col","row"
"266","4.63157894736842","3.3796992481203"
"161","4.80124223602484","4.40372670807453"
"161","5.16149068322981","4.52795031055901"
"164","5.20731707317073","4.61585365853659"
"167","5.30538922155689","4.51497005988024"
"162","5.25925925925926","4.79012345679012"
"165","4.80606060606061","4.64848484848485"
"170","4.94705882352941","4.85882352941176"
"164","4.86585365853659","4.8780487804878"
"171","5","4.41520467836257"
"161","5.22360248447205","4.8695652173913"
"170","5.08823529411765","4.64705882352941"
"184","4.7554347826087","5.08152173913043"
"159","4.91823899371069","4.78616352201258"
"168","5.01785714285714","5.04761904761905"
"168","5.09523809523809","4.73214285714286"
"197","5.22842639593909","5.04568527918782"
"179","5.26256983240223","5.33519553072626"
"155","5.18064516129032","5.09677419354839"
"184","5.16304347826087","4.81521739130435"
"178","4.89887640449438","5.0561797752809"
"178","5.06741573033708","4.88202247191011"
"175","5.09714285714286","5.21142857142857"
"184","5.01086956521739","5.125"
"192","5.02083333333333","5.3125"
"166","5.18072289156626","5.07228915662651"
"159","4.62264150943396","5.12578616352201"
"142","5.52816901408451","5.57042253521127"
"153","4.94117647058824","5.12418300653595"
"159","4.92452830188679","4.74842767295597"
"163","5.39263803680982","5.59509202453988"
"241","4.76348547717842","4.96265560165975"
"183","5.0327868852459","5"
"151","4.92715231788079","5.00662251655629"
"185","5.15135135135135","5.12432432432432"
"170","5.13529411764706","4.90588235294118"
"183","4.83060109289617","5.07650273224044"
"195","4.98461538461538","5.21025641025641"
"179","5.58659217877095","5.01117318435754"
"168","5.42261904761905","5.04166666666667"
"150","4.78666666666667","4.88"
"191","4.71204188481675","5.26701570680628"
"199","5.2964824120603","5.17085427135678"
"167","5.35329341317365","5.05988023952096"
"178","5.0561797752809","5.03932584269663"
"164","5.25","4.67682926829268"
"155","5.2258064516129","4.76129032258065"
"169","4.97633136094675","4.56804733727811"
"172","5.11627906976744","4.51162790697674"
"183","4.92896174863388","4.70491803278689"
"165","5.07878787878788","4.98787878787879"
"175","5.00571428571429","4.81714285714286"
