max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
682,272,415.4722222,397.5,9471.410436,3444,44871,5.582317073,4.896130346,5.212562675,5.209842789,0.014824519,11.58237208,562.9567689,7.14484127,6.12596401,6.642707475,6.637337604,0.057524809,18.20621805,717.4124073,cover,dynamic,16,man,stroke
638,226,378.6203704,387.5,5951.602198,3295,40891,5.540145985,4.969849246,5.212613827,5.194528395,0.019220752,11.52272859,562.9622933,7.070895522,6.029411765,6.532396866,6.516614811,0.040745127,18.28307751,705.4988615,cover,dynamic,16,man,stroke
556,278,400.4907407,400.5,5292.812998,3248,43253,5.5,4.776995305,5.114011165,5.122378168,0.023141873,12.78694045,552.3132058,7.60125261,5.900584795,6.626677455,6.627739782,0.090413287,20.6175001,715.6811651,cover,dynamic,16,man,stroke
495,155,234.2407407,221,2710.053652,3370,25298,5.758293839,4.756097561,5.220472404,5.193536651,0.038427789,16.95289448,563.8110197,6.130890052,4.701010101,5.576842698,5.597234712,0.089591025,21.60691597,602.2990114,cover,dynamic,16,man,tickle
292,165,217.2314815,212,790.7216165,1969,23461,5.883561644,5.028037383,5.434558937,5.440394999,0.03036496,16.28422423,586.9323652,6.253275109,5.270935961,5.737197497,5.739319413,0.059084005,23.95750794,619.6173297,cover,dynamic,16,man,tickle
478,177,242.9444444,231,2694.931464,3501,26238,5.835978836,4.944055944,5.349996662,5.337250211,0.038682722,16.67254266,577.7996394,7.209090909,5.016216216,6.06396282,6.0865625,0.175826767,29.61161514,654.9079846,cover,dynamic,16,man,tickle
357,180,246.5277778,241,1242.475857,2299,26625,5.672268908,4.742307692,5.192068473,5.164656877,0.03554742,15.11819132,560.7433951,6.497975709,4.579831933,5.597926983,5.599826093,0.078170254,19.15295941,604.5761142,cover,dynamic,16,man,tickle
2445,2192,2331.759259,2331,3444.801315,2287,251830,4.547473868,4.388529539,4.466041339,4.466335096,0.001730903,2.560044672,482.3324646,5.572018159,5.345479082,5.469196469,5.471110441,0.00187602,2.546932735,590.6732187,none,dynamic,16,man,constant
2443,2155,2317.333333,2318,4238.728972,2597,250272,4.708531832,4.396643471,4.568685307,4.572804519,0.006799078,2.672119504,493.4180131,5.567239212,5.352992194,5.461618671,5.453062468,0.002926343,2.428775706,589.8548165,none,dynamic,16,man,constant
2511,2283,2388.916667,2396,3730.656542,2337,258003,4.69895288,4.387906211,4.53498399,4.554844399,0.007193638,2.352334831,489.778271,5.594149155,5.362723701,5.462707568,5.455529034,0.002747752,2.775801932,589.9724174,none,dynamic,16,man,constant
2568,2418,2499.916667,2498,988.3574766,2490,269991,4.604845115,4.377108434,4.499908234,4.499404115,0.004107775,2.372018002,485.9900893,5.607300441,5.350403226,5.474144732,5.473999467,0.003625606,3.282108984,591.207631,none,dynamic,16,man,constant
177,89,129.8240741,129.5,322.594929,1100,14021,6.052238806,4.792307692,5.44255526,5.428480204,0.073372038,28.15208256,587.7959681,6.177777778,4.553398058,5.46261283,5.445747396,0.088043793,27.52641269,589.9621856,none,dynamic,16,man,notouch
161,94,128,127.5,221.1588785,1229,13824,6.098214286,4.818965517,5.538147744,5.535291515,0.062810369,32.53118358,598.1199564,6.144067797,4.887218045,5.546153957,5.547921071,0.062945059,25.83380029,598.9846274,none,dynamic,16,man,notouch
170,106,135.9074074,136,242.8885427,1451,14678,5.992,4.823529412,5.432838405,5.427572428,0.058948966,27.90432296,586.7465477,6.165137615,5.007692308,5.600653209,5.611853832,0.053083014,22.10331016,604.8705466,none,dynamic,16,man,notouch
171,104,137.3055556,137.5,226.4010903,1281,14829,5.962121212,4.798507463,5.39915839,5.391230236,0.052152678,25.62212353,583.1091061,6.324324324,5.027972028,5.608854167,5.611001596,0.053126887,26.03724645,605.75625,none,dynamic,16,man,notouch
659,170,233.8703704,211,4436.487712,4021,25258,5.567567568,4.56187291,5.141102947,5.185275519,0.04606951,21.68219046,555.2391183,5.681818182,4.358108108,5.200617602,5.22194855,0.064292072,26.3148542,561.666701,none,dynamic,16,man,pat
433,140,194.4814815,175.5,2780.737972,2671,21004,5.975460123,4.684210526,5.239829757,5.218926403,0.049924327,19.9202405,565.9016137,6.456090652,4.559782609,5.173459417,5.13224517,0.127456071,30.884913,558.733617,none,dynamic,16,man,pat
400,121,191.0462963,167.5,3556.829612,3403,20633,5.891304348,4.385674931,5.133362845,5.169602273,0.09885595,27.26766622,554.4031873,5.945273632,4.107255521,5.217721211,5.229500491,0.12388888,29.99299213,563.5138908,none,dynamic,16,man,pat
394,127,203.1759259,176,3974.202406,3404,21943,5.708333333,4.612307692,5.134942021,5.125791139,0.056577447,21.57937227,554.5737383,6.023255814,4.661538462,5.329124646,5.36627907,0.090472361,31.81227045,575.5454618,none,dynamic,16,man,pat
974,107,556.4814815,619.5,63139.24264,5884,60100,6.327102804,4.775362319,5.127548706,5.052450756,0.079217398,13.95207155,553.7752602,7.175572519,4.466183575,5.793867853,5.805224068,0.460808097,14.47503559,625.7377281,none,dynamic,16,man,rub
1229,108,572.7685185,549.5,52091.07676,5694,61859,5.572580645,4.36749634,4.75115413,4.735967248,0.045167147,9.750742554,513.124646,7.553164557,4.955473098,6.338939355,6.340764071,0.643551493,16.82141751,684.6054504,none,dynamic,16,man,rub
845,136,446.0648148,491.5,32048.75277,4721,48175,5.501766784,4.595081967,5.051973496,5.052331039,0.045718558,12.2333584,545.6131376,7.393129771,4.611313869,6.034389234,5.997375452,0.448269924,20.81348867,651.7140373,none,dynamic,16,man,rub
796,109,442.4722222,482.5,38899.13006,5950,47787,5.790540541,4.644268775,5.066693345,5.056272726,0.038733366,13.9743227,547.2028813,7.139633286,4.73359841,6.041592945,6.081735849,0.422992224,24.01217755,652.4920381,none,dynamic,16,man,rub
462,105,219.3240741,203.5,5167.529508,3037,23687,6.063241107,4.541176471,5.188988596,5.15156998,0.080060981,20.56033588,560.4107684,7.54,4.952380952,6.013728811,6.000289707,0.386872966,37.11246738,649.4827116,none,dynamic,16,man,scratch
443,127,246.1296296,231,4813.366217,4045,26582,5.566666667,3.865789474,4.777763397,4.779261465,0.153585592,23.6343146,515.9984469,7.922459893,5.294478528,6.5989725,6.669781931,0.307991324,38.45177622,712.68903,none,dynamic,16,man,scratch
